# image_index,predicted_label,adversarial_probability,true_label
0,0,0.603712,1
1,0,0.694943,1
2,0,0.616429,1
3,0,0.564061,1
4,0,0.476138,1
5,0,0.489385,1
6,1,0.434578,1
7,0,0.493672,1
8,0,0.668173,1
9,0,0.492489,1
10,0,0.588314,1
11,1,0.435896,1
12,0,0.474660,1
13,1,0.458645,1
14,0,0.643818,1
15,1,0.421416,1
16,0,0.643055,1
17,0,0.491553,1
18,0,0.510631,1
19,1,0.439918,1
20,1,0.394332,1
21,0,0.581065,1
22,0,0.579807,1
23,0,0.530115,1
24,0,0.583008,1
25,0,0.568803,1
26,0,0.529530,1
27,1,0.413221,1
28,0,0.472831,1
29,0,0.482540,1
30,1,0.421169,1
31,0,0.507262,1
32,1,0.469880,1
33,0,0.646133,1
34,0,0.494846,1
35,1,0.308320,1
36,0,0.711903,1
37,0,0.555330,1
38,0,0.527316,1
39,1,0.396742,1
40,0,0.560185,1
41,1,0.339902,1
42,0,0.506491,1
43,0,0.567937,1
44,0,0.613786,1
45,0,0.662455,1
46,0,0.709489,1
47,0,0.570324,1
48,0,0.543197,1
49,0,0.500000,1
50,0,0.490365,1
51,0,0.480582,1
52,1,0.462588,1
53,1,0.430285,1
54,0,0.678622,1
55,0,0.677998,1
56,1,0.331650,1
57,1,0.400959,1
58,0,0.590902,1
59,1,0.400905,1
60,0,0.613850,1
61,1,0.431688,1
62,1,0.281098,1
63,0,0.575412,1
64,1,0.351240,1
65,1,0.429140,1
66,0,0.618229,1
67,0,0.737111,1
68,1,0.401092,1
69,0,0.545588,1
70,0,0.598895,1
71,1,0.436528,1
72,0,0.636630,1
73,0,0.708544,1
74,0,0.500000,1
75,1,0.457839,1
76,0,0.730138,1
77,1,0.439901,1
78,1,0.392529,1
79,0,0.500000,1
80,0,0.751167,1
81,0,0.545268,1
82,0,0.612609,1
83,0,0.712905,1
84,0,0.615840,1
85,1,0.464558,1
86,1,0.391235,1
87,0,0.536650,1
88,0,0.557216,1
89,1,0.450047,1
90,0,0.731844,1
91,0,0.529016,1
92,0,0.505064,1
93,1,0.267201,1
94,0,0.664834,1
95,1,0.429980,1
96,1,0.466192,1
97,0,0.643514,1
98,0,0.529287,1
99,1,0.419713,1
100,0,0.594959,1
101,0,0.568751,1
102,1,0.340369,1
103,1,0.442940,1
104,0,0.657989,1
105,0,0.506613,1
106,0,0.598195,1
107,1,0.314745,1
108,0,0.508629,1
109,0,0.662765,1
110,0,0.645110,1
111,0,0.561425,1
112,0,0.492172,1
113,0,0.715546,1
114,0,0.489702,1
115,0,0.500000,1
116,0,0.553435,1
117,1,0.448382,1
118,1,0.388176,1
119,1,0.402680,1
120,0,0.660964,1
121,1,0.390184,1
122,1,0.420609,1
123,0,0.585690,1
124,0,0.702431,1
125,0,0.565633,1
126,0,0.716458,1
127,0,0.550667,1
128,1,0.304793,1
129,0,0.611142,1
130,1,0.403092,1
131,0,0.654049,1
132,1,0.439803,1
133,0,0.478348,1
134,0,0.505345,1
135,0,0.668608,1
136,0,0.557911,1
137,1,0.379055,1
138,1,0.471671,1
139,0,0.633225,1
140,1,0.463309,1
141,0,0.486537,1
142,0,0.573955,1
143,1,0.384336,1
144,0,0.481198,1
145,0,0.523381,1
146,1,0.445694,1
147,0,0.490855,1
148,1,0.451588,1
149,0,0.600481,1
150,1,0.469614,1
151,1,0.307406,1
152,1,0.334613,1
153,1,0.461588,1
154,0,0.569592,1
155,1,0.416816,1
156,0,0.550744,1
157,0,0.537854,1
158,0,0.719563,1
159,0,0.663351,1
160,1,0.375137,1
161,0,0.537743,1
162,0,0.592127,1
163,0,0.481261,1
164,0,0.678393,1
165,1,0.470658,1
166,0,0.732158,1
167,0,0.534805,1
168,0,0.560506,1
169,0,0.598147,1
170,0,0.593454,1
171,1,0.470806,1
172,0,0.576058,1
173,0,0.561183,1
174,1,0.444078,1
175,0,0.591797,1
176,0,0.640609,1
177,0,0.526979,1
178,0,0.615991,1
179,0,0.491975,1
180,0,0.543362,1
181,0,0.614367,1
182,0,0.581197,1
183,0,0.661533,1
184,1,0.394408,1
185,0,0.752513,1
186,1,0.385217,1
187,0,0.626340,1
188,0,0.666643,1
189,0,0.638777,1
190,1,0.360288,1
191,0,0.500000,1
192,0,0.563197,1
193,1,0.465785,1
194,0,0.552878,1
195,0,0.550828,1
196,0,0.476653,1
197,0,0.638345,1
198,1,0.469248,1
199,0,0.597534,1
200,0,0.691516,1
201,0,0.621899,1
202,0,0.482764,1
203,1,0.337503,1
204,1,0.450544,1
205,0,0.619485,1
206,0,0.520646,1
207,1,0.310956,1
208,0,0.582152,1
209,0,0.511929,1
210,0,0.644284,1
211,1,0.398898,1
212,0,0.500000,1
213,0,0.518025,1
214,0,0.644432,1
215,0,0.614355,1
216,0,0.613170,1
217,0,0.569204,1
218,0,0.701992,1
219,0,0.589339,1
220,1,0.380101,1
221,1,0.468996,1
222,0,0.698404,1
223,0,0.576010,1
224,1,0.349594,1
225,1,0.284661,1
226,1,0.425188,1
227,0,0.644634,1
228,0,0.628025,1
229,1,0.342269,1
230,0,0.648167,1
231,0,0.562558,1
232,1,0.336905,1
233,0,0.563279,1
234,0,0.655318,1
235,0,0.692970,1
236,0,0.566227,1
237,1,0.364060,1
238,0,0.556791,1
239,1,0.403325,1
240,0,0.536294,1
241,0,0.713251,1
242,0,0.590602,1
243,0,0.673769,1
244,0,0.490559,1
245,0,0.523710,1
246,1,0.390023,1
247,0,0.632118,1
248,1,0.436832,1
249,1,0.318733,1
250,1,0.390629,1
251,0,0.491983,1
252,1,0.306500,1
253,0,0.543262,1
254,0,0.518923,1
255,0,0.595457,1
256,0,0.537041,1
257,0,0.688663,1
258,0,0.530749,1
259,0,0.525100,1
260,1,0.391879,1
261,0,0.481505,1
262,0,0.583405,1
263,1,0.434605,1
264,0,0.550613,1
265,0,0.547680,1
266,0,0.539613,1
267,1,0.422962,1
268,1,0.429072,1
269,0,0.603985,1
270,0,0.539660,1
271,0,0.603894,1
272,1,0.331588,1
273,0,0.591155,1
274,0,0.577314,1
275,1,0.444124,1
276,0,0.619111,1
277,0,0.477574,1
278,1,0.400208,1
279,1,0.466066,1
280,0,0.518124,1
281,0,0.484548,1
282,0,0.571261,1
283,0,0.556854,1
284,1,0.463598,1
285,0,0.517467,1
286,0,0.493622,1
287,0,0.698411,1
288,1,0.451114,1
289,0,0.500000,1
290,1,0.444671,1
291,0,0.516084,1
292,0,0.570320,1
293,0,0.522619,1
294,0,0.513077,1
295,1,0.371953,1
296,1,0.418515,1
297,0,0.477586,1
298,0,0.607589,1
299,1,0.418695,1
300,1,0.278991,1
301,1,0.362702,1
302,0,0.573356,1
303,0,0.486319,1
304,1,0.430328,1
305,0,0.643436,1
306,0,0.500000,1
307,0,0.644892,1
308,0,0.569616,1
309,0,0.676987,1
310,0,0.721544,1
311,1,0.444231,1
312,0,0.687103,1
313,0,0.541438,1
314,0,0.532600,1
315,1,0.314679,1
316,0,0.621169,1
317,0,0.617766,1
318,0,0.607402,1
319,0,0.481423,1
320,0,0.703087,1
321,0,0.633207,1
322,0,0.574836,1
323,1,0.397272,1
324,1,0.424524,1
325,1,0.425310,1
326,0,0.562401,1
327,0,0.524164,1
328,0,0.595584,1
329,0,0.480682,1
330,0,0.492214,1
331,0,0.534094,1
332,0,0.500000,1
333,0,0.477633,1
334,1,0.361545,1
335,1,0.352676,1
336,0,0.500000,1
337,0,0.665324,1
338,1,0.350948,1
339,1,0.440148,1
340,1,0.441544,1
341,1,0.369583,1
342,0,0.642445,1
343,1,0.399145,1
344,1,0.387585,1
345,0,0.557071,1
346,1,0.365333,1
347,1,0.453646,1
348,0,0.698020,1
349,1,0.418670,1
350,0,0.551698,1
351,0,0.524148,1
352,0,0.478494,1
353,0,0.582631,1
354,0,0.562280,1
355,0,0.547860,1
356,0,0.566654,1
357,0,0.533081,1
358,0,0.540995,1
359,0,0.539106,1
360,0,0.550539,1
361,0,0.615397,1
362,0,0.652879,1
363,1,0.410560,1
364,0,0.526259,1
365,1,0.400877,1
366,0,0.529523,1
367,0,0.475565,1
368,0,0.647669,1
369,0,0.493249,1
370,0,0.530119,1
371,0,0.595337,1
372,0,0.483311,1
373,0,0.669032,1
374,0,0.500000,1
375,1,0.384701,1
376,0,0.512736,1
377,1,0.464155,1
378,0,0.505401,1
379,1,0.364598,1
380,1,0.348860,1
381,0,0.559975,1
382,0,0.580573,1
383,0,0.697052,1
384,0,0.534723,1
385,0,0.679367,1
386,1,0.458754,1
387,0,0.687787,1
388,0,0.473692,1
389,0,0.596037,1
390,1,0.307158,1
391,0,0.677053,1
392,0,0.500000,1
393,0,0.623379,1
394,0,0.475181,1
395,0,0.597121,1
396,0,0.500000,1
397,0,0.533421,1
398,0,0.645732,1
399,0,0.532813,1
400,1,0.368315,1
401,0,0.603254,1
402,1,0.306816,1
403,0,0.649045,1
404,0,0.528576,1
405,0,0.516829,1
406,0,0.604462,1
407,1,0.440027,1
408,0,0.645315,1
409,1,0.446775,1
410,0,0.508385,1
411,0,0.635805,1
412,0,0.486640,1
413,1,0.428955,1
414,1,0.329628,1
415,0,0.641041,1
416,1,0.420691,1
417,0,0.630261,1
418,0,0.684381,1
419,0,0.546849,1
420,1,0.430846,1
421,0,0.652778,1
422,0,0.674742,1
423,1,0.414036,1
424,0,0.684655,1
425,1,0.330881,1
426,1,0.455359,1
427,0,0.518520,1
428,1,0.314825,1
429,1,0.459385,1
430,0,0.528423,1
431,1,0.456233,1
432,0,0.643617,1
433,0,0.481228,1
434,1,0.467268,1
435,0,0.506450,1
436,1,0.461084,1
437,0,0.511438,1
438,0,0.494860,1
439,0,0.479380,1
440,0,0.500000,1
441,0,0.663104,1
442,1,0.384391,1
443,0,0.615213,1
444,0,0.549933,1
445,1,0.420997,1
446,0,0.598470,1
447,0,0.643944,1
448,0,0.477339,1
449,0,0.692684,1
450,1,0.277973,1
451,0,0.488169,1
452,0,0.567426,1
453,0,0.601454,1
454,0,0.553115,1
455,0,0.617494,1
456,0,0.523878,1
457,0,0.510207,1
458,1,0.346396,1
459,1,0.465757,1
460,0,0.597848,1
461,1,0.363171,1
462,0,0.639449,1
463,0,0.670974,1
464,0,0.605904,1
465,1,0.421972,1
466,1,0.461711,1
467,0,0.530436,1
468,1,0.380572,1
469,0,0.668600,1
470,0,0.596851,1
471,0,0.544501,1
472,0,0.627812,1
473,0,0.480270,1
474,0,0.489721,1
475,0,0.608669,1
476,1,0.342525,1
477,1,0.314283,1
478,0,0.644674,1
479,1,0.452192,1
480,0,0.647688,1
481,1,0.434262,1
482,0,0.600978,1
483,0,0.706104,1
484,0,0.538283,1
485,0,0.512801,1
486,1,0.470779,1
487,0,0.648006,1
488,0,0.642615,1
489,0,0.647541,1
490,0,0.668162,1
491,1,0.355507,1
492,0,0.648509,1
493,0,0.732004,1
494,0,0.593065,1
495,0,0.575983,1
496,0,0.474663,1
497,0,0.500000,1
498,0,0.588195,1
499,0,0.581388,1
500,1,0.351740,1
501,0,0.489623,1
502,0,0.591713,1
503,1,0.391878,1
504,0,0.653649,1
505,0,0.554752,1
506,0,0.552796,1
507,0,0.519333,1
508,0,0.588608,1
509,1,0.380865,1
510,1,0.443358,1
511,1,0.343196,1
512,1,0.303931,1
513,0,0.659212,1
514,0,0.545127,1
515,0,0.642516,1
516,0,0.639097,1
517,1,0.407428,1
518,1,0.470818,1
519,0,0.654477,1
520,0,0.532211,1
521,0,0.500000,1
522,1,0.338119,1
523,1,0.407008,1
524,0,0.695758,1
525,0,0.621305,1
526,0,0.484563,1
527,0,0.663766,1
528,0,0.546364,1
529,0,0.485971,1
530,0,0.654447,1
531,1,0.409179,1
532,1,0.336077,1
533,0,0.534063,1
534,1,0.448978,1
535,0,0.493133,1
536,0,0.500000,1
537,0,0.552251,1
538,0,0.583167,1
539,0,0.479651,1
540,0,0.643922,1
541,0,0.500000,1
542,0,0.573407,1
543,0,0.520889,1
544,0,0.500000,1
545,1,0.430653,1
546,0,0.565816,1
547,0,0.500000,1
548,1,0.388339,1
549,1,0.451923,1
550,0,0.500000,1
551,1,0.420346,1
552,0,0.488986,1
553,1,0.381330,1
554,0,0.529465,1
555,0,0.489919,1
556,0,0.600103,1
557,0,0.585677,1
558,0,0.537627,1
559,0,0.573839,1
560,0,0.562583,1
561,0,0.527521,1
562,1,0.360811,1
563,0,0.724040,1
564,1,0.393948,1
565,0,0.526881,1
566,1,0.327922,1
567,0,0.605468,1
568,1,0.429233,1
569,1,0.291221,1
570,0,0.648316,1
571,1,0.389732,1
572,0,0.649121,1
573,0,0.644112,1
574,1,0.418901,1
575,1,0.359715,1
576,0,0.549300,1
577,0,0.559415,1
578,0,0.575801,1
579,1,0.428860,1
580,0,0.500000,1
581,0,0.610746,1
582,1,0.447614,1
583,1,0.460482,1
584,0,0.611457,1
585,0,0.492905,1
586,0,0.579425,1
587,0,0.524052,1
588,0,0.689789,1
589,0,0.565203,1
590,1,0.436641,1
591,0,0.662527,1
592,0,0.610206,1
593,0,0.544579,1
594,0,0.500000,1
595,1,0.327831,1
596,1,0.456779,1
597,0,0.601493,1
598,0,0.558044,1
599,0,0.590217,1
600,0,0.566148,1
601,0,0.489239,1
602,1,0.447999,1
603,0,0.694089,1
604,0,0.548126,1
605,0,0.489222,1
606,1,0.402991,1
607,0,0.545095,1
608,0,0.521462,1
609,0,0.650743,1
610,0,0.548030,1
611,0,0.473760,1
612,0,0.533130,1
613,0,0.638849,1
614,0,0.631461,1
615,0,0.613182,1
616,1,0.279905,1
617,1,0.387934,1
618,0,0.552291,1
619,0,0.512035,1
620,0,0.489440,1
621,1,0.447784,1
622,0,0.643198,1
623,0,0.598095,1
624,1,0.436812,1
625,0,0.671461,1
626,0,0.500000,1
627,1,0.443496,1
628,0,0.655176,1
629,0,0.592972,1
630,0,0.517226,1
631,0,0.536323,1
632,1,0.333918,1
633,0,0.553722,1
634,0,0.614929,1
635,0,0.500000,1
636,0,0.623280,1
637,0,0.534930,1
638,0,0.623264,1
639,0,0.680776,1
640,0,0.500000,1
641,1,0.361388,1
642,0,0.616580,1
643,1,0.316732,1
644,0,0.661983,1
645,0,0.500000,1
646,0,0.595108,1
647,1,0.375050,1
648,1,0.466888,1
649,1,0.460674,1
650,0,0.538209,1
651,1,0.447932,1
652,1,0.428754,1
653,1,0.430683,1
654,1,0.464971,1
655,0,0.500000,1
656,0,0.616850,1
657,0,0.483440,1
658,0,0.741206,1
659,1,0.340333,1
660,0,0.506610,1
661,1,0.412425,1
662,0,0.516167,1
663,1,0.437850,1
664,1,0.405332,1
665,0,0.641612,1
666,1,0.425969,1
667,0,0.626174,1
668,0,0.529864,1
669,1,0.388328,1
670,0,0.534003,1
671,0,0.568647,1
672,1,0.463651,1
673,0,0.565482,1
674,1,0.431255,1
675,0,0.505607,1
676,1,0.469558,1
677,0,0.531457,1
678,0,0.500000,1
679,0,0.546093,1
680,1,0.310539,1
681,1,0.438495,1
682,0,0.587119,1
683,0,0.525949,1
684,1,0.336273,1
685,1,0.376787,1
686,1,0.401573,1
687,1,0.449373,1
688,1,0.441688,1
689,1,0.464360,1
690,0,0.545022,1
691,0,0.552495,1
692,1,0.460307,1
693,0,0.525301,1
694,0,0.611352,1
695,0,0.489794,1
696,0,0.591057,1
697,0,0.528196,1
698,0,0.662256,1
699,0,0.671324,1
700,0,0.605626,1
701,0,0.619312,1
702,0,0.536745,1
703,0,0.579756,1
704,0,0.483861,1
705,0,0.604250,1
706,0,0.598820,1
707,0,0.639075,1
708,0,0.567665,1
709,0,0.601962,1
710,0,0.506701,1
711,0,0.646631,1
712,0,0.523121,1
713,1,0.443213,1
714,0,0.525592,1
715,1,0.439318,1
716,0,0.649278,1
717,0,0.522624,1
718,1,0.406756,1
719,0,0.640394,1
720,0,0.577984,1
721,0,0.609109,1
722,0,0.602223,1
723,1,0.348996,1
724,1,0.465401,1
725,0,0.526032,1
726,1,0.444336,1
727,0,0.485306,1
728,1,0.463190,1
729,0,0.500000,1
730,0,0.479465,1
731,0,0.638812,1
732,0,0.543633,1
733,0,0.477498,1
734,0,0.688351,1
735,0,0.652800,1
736,0,0.585961,1
737,0,0.546353,1
738,1,0.450561,1
739,1,0.424668,1
740,0,0.493476,1
741,0,0.525507,1
742,0,0.589928,1
743,1,0.449752,1
744,0,0.523458,1
745,0,0.647091,1
746,0,0.598969,1
747,0,0.520972,1
748,0,0.694763,1
749,0,0.604875,1
750,0,0.512632,1
751,0,0.558957,1
752,0,0.592994,1
753,0,0.485678,1
754,0,0.543964,1
755,0,0.739350,1
756,0,0.586429,1
757,0,0.700628,1
758,1,0.461730,1
759,0,0.490009,1
760,0,0.548258,1
761,1,0.393887,1
762,1,0.275097,1
763,0,0.538135,1
764,0,0.491864,1
765,0,0.724494,1
766,0,0.591884,1
767,1,0.452431,1
768,1,0.366438,1
769,0,0.549092,1
770,0,0.481128,1
771,1,0.441908,1
772,1,0.372884,1
773,0,0.652409,1
774,0,0.655999,1
775,1,0.453807,1
776,0,0.607854,1
777,0,0.536496,1
778,0,0.641619,1
779,1,0.421579,1
780,0,0.500000,1
781,0,0.520971,1
782,0,0.500000,1
783,1,0.411025,1
784,0,0.662666,1
785,0,0.561353,1
786,0,0.639106,1
787,0,0.477820,1
788,1,0.419699,1
789,0,0.549063,1
790,0,0.613036,1
791,1,0.360694,1
792,1,0.278172,1
793,1,0.392791,1
794,1,0.441341,1
795,0,0.505069,1
796,0,0.563395,1
797,0,0.587248,1
798,1,0.464011,1
799,0,0.517033,1
800,0,0.527670,1
801,0,0.505801,1
802,0,0.605688,1
803,0,0.526726,1
804,0,0.484612,1
805,0,0.580407,1
806,0,0.582913,1
807,0,0.583367,1
808,0,0.594584,1
809,0,0.511609,1
810,0,0.636930,1
811,1,0.423439,1
812,0,0.532261,1
813,0,0.609260,1
814,0,0.578915,1
815,0,0.623172,1
816,0,0.645584,1
817,1,0.401342,1
818,1,0.353338,1
819,1,0.386116,1
820,1,0.380833,1
821,0,0.537205,1
822,0,0.620199,1
823,0,0.733655,1
824,1,0.416152,1
825,0,0.568642,1
826,0,0.487060,1
827,1,0.398243,1
828,1,0.394105,1
829,0,0.473516,1
830,0,0.561399,1
831,1,0.311484,1
832,0,0.620324,1
833,0,0.663228,1
834,1,0.290012,1
835,1,0.362067,1
836,0,0.500000,1
837,1,0.469326,1
838,1,0.344176,1
839,0,0.572577,1
840,0,0.528106,1
841,0,0.610899,1
842,0,0.607360,1
843,0,0.622690,1
844,0,0.587381,1
845,1,0.453414,1
846,0,0.490988,1
847,0,0.610428,1
848,0,0.632716,1
849,1,0.416248,1
850,0,0.546649,1
851,0,0.515821,1
852,0,0.556286,1
853,0,0.528772,1
854,0,0.636285,1
855,1,0.367240,1
856,1,0.397860,1
857,0,0.700992,1
858,0,0.626135,1
859,0,0.533859,1
860,0,0.570317,1
861,1,0.283369,1
862,1,0.421191,1
863,1,0.246417,1
864,0,0.598954,1
865,0,0.527209,1
866,0,0.622778,1
867,1,0.391462,1
868,0,0.644070,1
869,0,0.636728,1
870,0,0.634270,1
871,0,0.605712,1
872,0,0.633454,1
873,0,0.658633,1
874,0,0.540021,1
875,0,0.690147,1
876,0,0.529669,1
877,0,0.614748,1
878,0,0.641611,1
879,1,0.453388,1
880,0,0.639817,1
881,0,0.551963,1
882,0,0.480781,1
883,0,0.615707,1
884,0,0.526748,1
885,0,0.528046,1
886,0,0.584462,1
887,1,0.350165,1
888,0,0.716168,1
889,1,0.436563,1
890,1,0.339101,1
891,0,0.544137,1
892,1,0.309710,1
893,0,0.560020,1
894,1,0.433418,1
895,0,0.615889,1
896,0,0.490412,1
897,0,0.486366,1
898,1,0.386457,1
899,0,0.526605,1
900,0,0.640668,1
901,0,0.692696,1
902,1,0.323430,1
903,1,0.443341,1
904,0,0.635265,1
905,0,0.658508,1
906,0,0.530574,1
907,0,0.491147,1
908,0,0.665640,1
909,0,0.579571,1
910,1,0.353025,1
911,0,0.663696,1
912,0,0.564220,1
913,0,0.605205,1
914,0,0.730944,1
915,0,0.666541,1
916,0,0.727535,1
917,0,0.627413,1
918,0,0.791403,1
919,0,0.490281,1
920,0,0.523414,1
921,0,0.677577,1
922,0,0.593395,1
923,0,0.500000,1
924,0,0.645856,1
925,0,0.552530,1
926,0,0.603020,1
927,1,0.375163,1
928,0,0.500000,1
929,0,0.721443,1
930,0,0.564334,1
931,0,0.500000,1
932,1,0.437149,1
933,0,0.500000,1
934,0,0.500000,1
935,0,0.614562,1
936,0,0.715082,1
937,0,0.631851,1
938,1,0.403999,1
939,0,0.559329,1
940,0,0.601513,1
941,0,0.628176,1
942,0,0.581058,1
943,0,0.578887,1
944,0,0.601953,1
945,0,0.718337,1
946,0,0.650746,1
947,1,0.343330,1
948,0,0.670398,1
949,1,0.452279,1
950,0,0.650755,1
951,1,0.462954,1
952,0,0.500000,1
953,0,0.613002,1
954,1,0.463065,1
955,0,0.525584,1
956,0,0.649721,1
957,0,0.687860,1
958,1,0.409296,1
959,0,0.688966,1
960,0,0.583512,1
961,0,0.539815,1
962,0,0.597682,1
963,0,0.594435,1
964,1,0.323570,1
965,1,0.391905,1
966,0,0.517773,1
967,0,0.490685,1
968,1,0.449637,1
969,1,0.463718,1
970,1,0.468814,1
971,0,0.603399,1
972,1,0.298652,1
973,0,0.597896,1
974,0,0.558046,1
975,0,0.524947,1
976,1,0.343990,1
977,0,0.809067,1
978,0,0.574477,1
979,1,0.453523,1
980,0,0.623987,1
981,0,0.622962,1
982,0,0.486151,1
983,0,0.589770,1
984,1,0.313314,1
985,1,0.449047,1
986,0,0.643177,1
987,0,0.590057,1
988,0,0.485480,1
989,0,0.556779,1
990,0,0.662858,1
991,0,0.565640,1
