# image_index,predicted_label,adversarial_probability,true_label
0,1,0.420671,0
1,0,0.614671,0
2,0,0.474977,0
3,0,0.489627,0
4,0,0.539634,0
5,0,0.474671,0
6,1,0.432726,0
7,1,0.458637,0
8,0,0.472637,0
9,1,0.408882,0
10,0,0.472497,0
11,0,0.483336,0
12,1,0.470602,0
13,1,0.427109,0
14,0,0.666182,0
15,1,0.363670,0
16,0,0.647668,0
17,1,0.420260,0
18,0,0.474615,0
19,0,0.510171,0
20,1,0.385751,0
21,1,0.462170,0
22,1,0.310492,0
23,1,0.464467,0
24,0,0.478325,0
25,0,0.621088,0
26,0,0.590509,0
27,1,0.392562,0
28,1,0.344406,0
29,0,0.599668,0
30,0,0.653548,0
31,1,0.453339,0
32,1,0.460512,0
33,0,0.478558,0
34,0,0.539747,0
35,1,0.347440,0
36,0,0.647213,0
37,0,0.485421,0
38,1,0.396474,0
39,1,0.313797,0
40,0,0.483863,0
41,1,0.426555,0
42,0,0.500000,0
43,1,0.460363,0
44,0,0.525915,0
45,0,0.608742,0
46,0,0.500000,0
47,1,0.370302,0
48,0,0.677778,0
49,0,0.527353,0
50,1,0.408476,0
51,1,0.353245,0
52,1,0.385005,0
53,0,0.530689,0
54,0,0.507300,0
55,0,0.603879,0
56,1,0.362626,0
57,1,0.396837,0
58,0,0.480956,0
59,1,0.361094,0
60,0,0.712505,0
61,1,0.452145,0
62,1,0.361267,0
63,1,0.451897,0
64,1,0.348262,0
65,0,0.561180,0
66,0,0.534098,0
67,0,0.653019,0
68,1,0.379202,0
69,0,0.669202,0
70,1,0.466040,0
71,1,0.344001,0
72,0,0.607181,0
73,1,0.424276,0
74,1,0.371764,0
75,1,0.462812,0
76,1,0.424166,0
77,1,0.406852,0
78,1,0.391305,0
79,1,0.307660,0
80,0,0.701223,0
81,0,0.563507,0
82,0,0.508265,0
83,0,0.543743,0
84,0,0.580558,0
85,1,0.431151,0
86,1,0.453507,0
87,1,0.374405,0
88,0,0.479874,0
89,0,0.507939,0
90,0,0.604093,0
91,1,0.360596,0
92,0,0.486685,0
93,1,0.411930,0
94,0,0.527282,0
95,1,0.307892,0
96,0,0.621580,0
97,0,0.549317,0
98,0,0.500000,0
99,0,0.492403,0
100,1,0.447153,0
101,1,0.458704,0
102,1,0.385881,0
103,0,0.568285,0
104,0,0.500000,0
105,1,0.392906,0
106,0,0.492950,0
107,1,0.348423,0
108,1,0.369543,0
109,0,0.630905,0
110,0,0.577351,0
111,1,0.432338,0
112,0,0.485415,0
113,0,0.527881,0
114,1,0.429277,0
115,1,0.340865,0
116,1,0.375405,0
117,1,0.317220,0
118,1,0.410056,0
119,1,0.455386,0
120,0,0.500000,0
