# image_index,predicted_label,adversarial_probability,true_label
0,0,0.003249,1
1,0,0.009185,1
2,0,0.005121,1
3,0,0.032866,1
4,0,0.231088,1
5,0,0.149895,1
6,1,0.700706,1
7,0,0.007475,1
8,0,0.004476,1
9,0,0.032735,1
10,0,0.011891,1
11,1,0.506844,1
12,0,0.154983,1
13,1,0.648077,1
14,0,0.008751,1
15,0,0.094622,1
16,0,0.160488,1
17,0,0.061905,1
18,0,0.322215,1
19,0,0.089602,1
20,0,0.160655,1
21,0,0.048767,1
22,0,0.082573,1
23,0,0.149703,1
24,0,0.007227,1
25,0,0.068531,1
26,0,0.016560,1
27,0,0.087127,1
28,0,0.086135,1
29,0,0.058302,1
30,0,0.362645,1
31,0,0.077122,1
32,0,0.016702,1
33,0,0.010314,1
34,0,0.021405,1
35,0,0.419635,1
36,0,0.001389,1
37,0,0.028183,1
38,0,0.035918,1
39,0,0.095202,1
40,0,0.031055,1
41,0,0.479405,1
42,0,0.136618,1
43,0,0.009445,1
44,0,0.076617,1
45,0,0.004536,1
46,0,0.002017,1
47,0,0.006280,1
48,0,0.031584,1
49,0,0.030068,1
50,0,0.026319,1
51,0,0.011799,1
52,0,0.040633,1
53,0,0.254820,1
54,0,0.003809,1
55,0,0.010170,1
56,1,0.759329,1
57,1,0.710204,1
58,0,0.007407,1
59,0,0.395350,1
60,0,0.032977,1
61,0,0.046745,1
62,1,0.889643,1
63,0,0.025157,1
64,0,0.281947,1
65,0,0.145153,1
66,0,0.002154,1
67,0,0.014701,1
68,0,0.223399,1
69,0,0.032305,1
70,0,0.009463,1
71,0,0.076413,1
72,0,0.009859,1
73,0,0.000914,1
74,0,0.076946,1
75,0,0.081257,1
76,0,0.003265,1
77,0,0.088476,1
78,0,0.447711,1
79,0,0.142362,1
80,0,0.003581,1
81,0,0.357558,1
82,0,0.016742,1
83,0,0.008828,1
84,0,0.027197,1
85,0,0.105860,1
86,0,0.430918,1
87,0,0.022244,1
88,0,0.027362,1
89,0,0.056018,1
90,0,0.001285,1
91,0,0.009166,1
92,0,0.076404,1
93,0,0.191497,1
94,0,0.004128,1
95,0,0.171523,1
96,0,0.220289,1
97,0,0.097243,1
98,0,0.145756,1
99,0,0.124591,1
100,0,0.031476,1
101,0,0.068588,1
102,1,0.964151,1
103,0,0.108015,1
104,0,0.006546,1
105,0,0.113634,1
106,0,0.002018,1
107,1,0.549138,1
108,0,0.266694,1
109,0,0.137398,1
110,0,0.007822,1
111,0,0.039949,1
112,0,0.038817,1
113,0,0.001707,1
114,0,0.051746,1
115,0,0.059689,1
116,0,0.002679,1
117,0,0.105338,1
118,0,0.197487,1
119,0,0.154155,1
120,0,0.004088,1
121,0,0.107124,1
122,0,0.140621,1
123,0,0.070898,1
124,0,0.000497,1
125,0,0.009003,1
126,0,0.000648,1
127,0,0.125834,1
128,1,0.607234,1
129,0,0.052873,1
130,0,0.296572,1
131,0,0.046370,1
132,0,0.106937,1
133,0,0.140385,1
134,0,0.027371,1
135,0,0.002734,1
136,0,0.087959,1
137,0,0.076664,1
138,0,0.016307,1
139,0,0.008880,1
140,0,0.039108,1
141,0,0.038487,1
142,0,0.009047,1
143,1,0.622753,1
144,0,0.172557,1
145,0,0.082762,1
146,1,0.832627,1
147,0,0.242713,1
148,0,0.458540,1
149,0,0.435657,1
150,0,0.032146,1
151,0,0.175952,1
152,0,0.061998,1
153,0,0.078906,1
154,0,0.016181,1
155,0,0.006007,1
156,0,0.061207,1
157,0,0.078899,1
158,0,0.007902,1
159,0,0.011881,1
160,0,0.186519,1
161,0,0.018676,1
162,0,0.020428,1
163,0,0.159695,1
164,0,0.008316,1
165,0,0.037639,1
166,0,0.001482,1
167,0,0.019133,1
168,0,0.026346,1
169,0,0.002085,1
