# image_index,predicted_label,adversarial_probability,true_label
0,0,0.049821,0
1,0,0.019379,0
2,0,0.180580,0
3,0,0.160201,0
4,0,0.057161,0
5,0,0.291217,0
6,1,0.584813,0
7,0,0.038224,0
8,0,0.174334,0
9,0,0.352065,0
10,0,0.062312,0
11,0,0.228140,0
12,0,0.288544,0
13,1,0.650671,0
14,0,0.056485,0
15,1,0.491422,0
16,0,0.090621,0
17,1,0.690761,0
18,0,0.223159,0
19,0,0.084876,0
20,0,0.158580,0
21,0,0.064319,0
22,0,0.243456,0
23,0,0.168854,0
24,0,0.027609,0
25,0,0.058381,0
26,0,0.185495,0
27,0,0.177250,0
28,1,0.712749,0
29,0,0.104115,0
30,0,0.041727,0
31,0,0.329665,0
32,0,0.379514,0
33,0,0.217427,0
34,0,0.036156,0
35,1,0.778946,0
36,0,0.042911,0
37,0,0.033736,0
38,1,0.575242,0
39,1,0.618041,0
40,0,0.414922,0
41,1,0.486286,0
42,1,0.674868,0
43,0,0.209307,0
44,0,0.131843,0
45,0,0.019802,0
46,0,0.083655,0
47,0,0.110027,0
48,0,0.024893,0
49,0,0.033268,0
50,0,0.161556,0
51,1,0.745647,0
52,0,0.225171,0
53,0,0.149608,0
54,0,0.004628,0
55,0,0.021115,0
56,1,0.662526,0
57,1,0.740786,0
58,0,0.139614,0
59,1,0.811836,0
60,0,0.013455,0
61,0,0.151481,0
62,1,0.669984,0
63,0,0.095277,0
64,0,0.464323,0
65,0,0.105916,0
66,0,0.004578,0
67,0,0.024350,0
68,1,0.522721,0
69,0,0.065284,0
70,0,0.036655,0
71,1,0.820041,0
72,0,0.062484,0
73,0,0.029588,0
74,0,0.444760,0
75,0,0.125112,0
76,0,0.200444,0
77,1,0.817324,0
78,1,0.733915,0
79,1,0.520100,0
80,0,0.005561,0
81,0,0.035410,0
82,0,0.081328,0
83,0,0.154339,0
84,0,0.026906,0
85,0,0.204799,0
86,1,0.785400,0
87,0,0.437394,0
88,0,0.308286,0
89,0,0.154941,0
90,0,0.030837,0
91,1,0.759702,0
92,0,0.213914,0
93,0,0.417576,0
94,0,0.110285,0
95,1,0.754261,0
96,0,0.116582,0
97,0,0.141490,0
98,0,0.066527,0
99,0,0.216118,0
100,0,0.132843,0
101,1,0.591028,0
102,0,0.432559,0
103,0,0.048915,0
104,0,0.016949,0
105,0,0.344645,0
106,0,0.022746,0
107,0,0.317641,0
108,1,0.738374,0
109,0,0.038614,0
110,0,0.401247,0
111,0,0.441345,0
112,0,0.115859,0
113,0,0.015117,0
114,0,0.136313,0
115,0,0.418226,0
116,0,0.162817,0
117,0,0.246746,0
118,0,0.107314,0
119,0,0.350233,0
120,0,0.017936,0
121,0,0.092517,0
122,0,0.220197,0
123,0,0.208501,0
124,0,0.063059,0
125,0,0.402251,0
126,0,0.050058,0
127,0,0.277478,0
128,1,0.681865,0
129,0,0.439445,0
130,0,0.111918,0
131,0,0.029285,0
132,0,0.221831,0
133,0,0.101719,0
134,0,0.415620,0
135,0,0.031154,0
136,0,0.149058,0
137,0,0.151919,0
138,0,0.031572,0
139,0,0.088391,0
140,1,0.904577,0
141,0,0.106615,0
142,0,0.019177,0
143,1,0.754391,0
144,0,0.417116,0
145,0,0.335798,0
146,0,0.344550,0
147,1,0.528897,0
148,0,0.302407,0
149,0,0.450436,0
150,0,0.137764,0
151,0,0.417339,0
152,0,0.048086,0
153,1,0.521040,0
154,0,0.042904,0
155,0,0.065639,0
156,1,0.646369,0
157,0,0.170399,0
158,0,0.302793,0
159,0,0.106018,0
160,1,0.685691,0
161,0,0.024001,0
162,0,0.108101,0
163,1,0.578382,0
164,0,0.071114,0
165,0,0.085844,0
166,0,0.088615,0
167,0,0.001906,0
168,0,0.243066,0
169,0,0.074854,0
170,0,0.376803,0
171,0,0.194755,0
172,1,0.714597,0
173,0,0.037253,0
174,0,0.231454,0
175,0,0.026002,0
176,0,0.052101,0
177,0,0.206227,0
178,1,0.570849,0
179,1,0.810317,0
180,1,0.512806,0
181,0,0.040845,0
182,0,0.180860,0
183,0,0.120090,0
184,0,0.365451,0
185,0,0.099424,0
186,0,0.057271,0
187,0,0.133126,0
188,0,0.083871,0
189,0,0.216036,0
190,1,0.793365,0
191,1,0.735154,0
192,0,0.209380,0
193,1,0.559346,0
194,0,0.060711,0
195,0,0.416317,0
196,0,0.133717,0
197,0,0.028834,0
198,1,0.659801,0
199,0,0.179485,0
200,0,0.104018,0
201,0,0.016098,0
202,0,0.048983,0
203,1,0.825389,0
204,0,0.230718,0
205,0,0.235273,0
206,0,0.471907,0
207,0,0.061327,0
208,0,0.014494,0
209,0,0.095245,0
210,0,0.426374,0
211,1,0.815725,0
212,1,0.571376,0
213,0,0.242100,0
214,0,0.150279,0
215,0,0.052936,0
216,0,0.082185,0
217,0,0.023044,0
218,0,0.017167,0
219,0,0.138468,0
220,0,0.094070,0
221,0,0.099558,0
222,0,0.009777,0
223,0,0.020199,0
224,1,0.571680,0
225,0,0.151945,0
226,1,0.901113,0
227,0,0.062329,0
228,1,0.917616,0
229,1,0.758700,0
230,0,0.099147,0
231,0,0.011643,0
232,1,0.645799,0
233,0,0.075467,0
234,0,0.018095,0
235,0,0.014465,0
236,0,0.018486,0
237,0,0.190260,0
238,0,0.202984,0
239,0,0.348828,0
240,0,0.018884,0
241,0,0.009463,0
242,0,0.095789,0
243,0,0.016725,0
244,0,0.405565,0
245,0,0.358576,0
246,0,0.191995,0
247,0,0.122300,0
248,1,0.773902,0
249,1,0.500000,0
250,0,0.234219,0
251,0,0.100041,0
252,1,0.816299,0
253,0,0.128823,0
254,0,0.090381,0
255,0,0.104705,0
256,0,0.227300,0
257,0,0.084230,0
258,0,0.390486,0
259,0,0.154279,0
260,1,0.716697,0
261,1,0.490203,0
262,0,0.132397,0
263,1,0.559468,0
264,0,0.045101,0
265,0,0.300927,0
266,1,0.945963,0
267,0,0.027840,0
268,0,0.135993,0
269,0,0.332144,0
270,0,0.140015,0
271,0,0.101427,0
272,1,0.780627,0
273,0,0.067548,0
274,0,0.048125,0
275,0,0.342615,0
276,0,0.090879,0
277,0,0.245285,0
278,0,0.116192,0
279,1,0.710971,0
280,0,0.079149,0
281,0,0.038030,0
282,0,0.061624,0
283,0,0.045383,0
284,1,0.569000,0
285,0,0.109017,0
286,0,0.062425,0
287,0,0.017370,0
288,0,0.038169,0
289,0,0.108436,0
290,0,0.260981,0
291,0,0.038866,0
292,0,0.028551,0
293,0,0.050605,0
294,0,0.188135,0
295,0,0.082635,0
296,0,0.119276,0
297,0,0.290608,0
298,0,0.144126,0
299,0,0.171214,0
300,0,0.267288,0
301,0,0.103782,0
302,0,0.237439,0
303,1,0.562408,0
304,1,0.695548,0
305,0,0.126213,0
306,0,0.096694,0
307,1,0.624992,0
308,0,0.112523,0
309,0,0.034421,0
310,0,0.006882,0
311,0,0.338528,0
312,0,0.004997,0
313,0,0.101319,0
314,1,0.767199,0
315,1,0.930495,0
316,0,0.240491,0
317,0,0.044446,0
318,1,0.530424,0
319,0,0.092782,0
320,0,0.017014,0
321,0,0.029571,0
322,0,0.102442,0
323,0,0.284875,0
324,1,0.500000,0
325,1,0.945436,0
326,0,0.023427,0
327,0,0.044381,0
328,1,0.659395,0
329,0,0.021523,0
330,0,0.038278,0
331,0,0.031530,0
332,0,0.422934,0
333,0,0.292310,0
334,0,0.071277,0
335,0,0.279346,0
336,0,0.080166,0
337,0,0.287682,0
338,1,0.500000,0
339,0,0.307750,0
340,1,0.830767,0
341,1,0.837729,0
342,0,0.016920,0
343,1,0.930801,0
344,1,0.500000,0
345,0,0.072950,0
346,0,0.079502,0
347,0,0.106778,0
348,0,0.215996,0
349,0,0.391570,0
350,0,0.340548,0
351,0,0.282415,0
352,0,0.078777,0
353,0,0.060000,0
354,0,0.178156,0
355,0,0.447351,0
356,0,0.112838,0
357,0,0.437139,0
358,0,0.153804,0
359,0,0.099144,0
360,0,0.058941,0
361,0,0.068964,0
362,0,0.064075,0
363,0,0.281628,0
364,0,0.115261,0
365,0,0.412097,0
366,0,0.425299,0
367,0,0.476146,0
368,0,0.159521,0
369,0,0.251518,0
370,0,0.025419,0
371,0,0.029995,0
372,0,0.152854,0
373,1,0.665722,0
374,0,0.362910,0
375,1,0.563237,0
376,0,0.154118,0
377,0,0.133442,0
