# image_index,predicted_label,adversarial_probability,true_label
0,0,0.795155,1
1,0,0.613059,1
2,0,0.611656,1
3,0,0.789702,1
4,0,0.622412,1
5,0,0.620310,1
6,0,0.730551,1
7,0,0.773355,1
8,0,0.791769,1
9,0,0.638923,1
10,0,0.772487,1
11,0,0.695656,1
12,0,0.715146,1
13,0,0.659289,1
14,0,0.736242,1
15,0,0.500000,1
16,0,0.715059,1
17,0,0.555330,1
18,0,0.550327,1
19,0,0.753893,1
20,0,0.733198,1
21,0,0.715652,1
22,0,0.752678,1
23,0,0.711208,1
24,0,0.879943,1
25,0,0.730772,1
26,0,0.662012,1
27,0,0.578960,1
28,0,0.788649,1
29,1,0.476470,1
30,0,0.733845,1
31,0,0.821370,1
32,0,0.531828,1
33,0,0.670985,1
34,0,0.562316,1
35,0,0.680747,1
36,0,0.493511,1
37,0,0.799618,1
38,0,0.707340,1
39,0,0.668988,1
40,0,0.579205,1
41,0,0.777942,1
42,0,0.771482,1
43,0,0.632612,1
44,0,0.678761,1
45,0,0.701872,1
46,0,0.656259,1
47,0,0.646941,1
48,0,0.763266,1
49,0,0.594301,1
50,0,0.744433,1
51,0,0.757772,1
52,0,0.762380,1
53,0,0.686425,1
54,0,0.698394,1
55,0,0.607584,1
56,0,0.681367,1
57,0,0.542864,1
58,0,0.593290,1
59,0,0.576767,1
60,0,0.581277,1
61,0,0.582978,1
62,0,0.515499,1
63,0,0.724142,1
64,0,0.721982,1
65,0,0.836306,1
66,0,0.619096,1
67,0,0.765405,1
68,0,0.833117,1
69,0,0.841540,1
70,0,0.655977,1
71,0,0.753882,1
72,0,0.756165,1
73,0,0.624696,1
74,0,0.694668,1
75,0,0.799998,1
76,0,0.687344,1
77,0,0.824128,1
78,0,0.589494,1
79,0,0.804069,1
80,0,0.746409,1
81,0,0.780351,1
82,0,0.722508,1
83,0,0.581205,1
84,0,0.727370,1
85,0,0.727543,1
86,0,0.747215,1
87,0,0.806822,1
88,0,0.724304,1
89,0,0.765588,1
90,0,0.601676,1
91,0,0.813249,1
92,0,0.854690,1
93,0,0.728376,1
94,0,0.716932,1
95,0,0.559485,1
96,0,0.571166,1
97,0,0.709602,1
98,0,0.517549,1
99,0,0.685670,1
100,0,0.628914,1
101,0,0.780310,1
102,0,0.679411,1
103,0,0.817178,1
104,0,0.689952,1
105,0,0.835650,1
106,0,0.857246,1
107,0,0.758120,1
108,0,0.613129,1
109,0,0.768498,1
110,0,0.724647,1
111,0,0.825578,1
112,0,0.664448,1
113,0,0.816179,1
114,0,0.759779,1
115,0,0.838666,1
116,0,0.701851,1
117,0,0.619750,1
118,0,0.764372,1
119,0,0.755963,1
120,0,0.670790,1
121,0,0.817334,1
122,0,0.663137,1
123,0,0.841598,1
124,0,0.664006,1
125,0,0.746244,1
126,0,0.744463,1
127,0,0.685384,1
128,0,0.740930,1
129,0,0.770105,1
130,0,0.842352,1
131,0,0.824339,1
132,0,0.710507,1
133,0,0.756924,1
134,0,0.806306,1
135,0,0.595391,1
136,0,0.633793,1
137,0,0.853702,1
138,0,0.790429,1
139,0,0.596393,1
140,0,0.812487,1
141,1,0.490482,1
142,0,0.698250,1
143,0,0.852466,1
144,0,0.769969,1
145,0,0.512180,1
146,0,0.807057,1
147,0,0.753268,1
148,0,0.812048,1
149,0,0.613920,1
150,0,0.783670,1
151,0,0.665634,1
152,0,0.689336,1
153,0,0.679762,1
154,0,0.701980,1
155,0,0.664347,1
156,0,0.690231,1
157,1,0.439300,1
158,0,0.715033,1
159,0,0.606316,1
160,0,0.675188,1
161,0,0.512528,1
162,0,0.513960,1
163,0,0.667416,1
164,0,0.710219,1
165,0,0.644699,1
166,0,0.605419,1
167,0,0.699035,1
168,0,0.661595,1
169,0,0.746343,1
170,0,0.789015,1
171,0,0.620559,1
172,0,0.575469,1
173,0,0.797540,1
174,0,0.715657,1
175,0,0.586179,1
