# image_index,predicted_label,adversarial_probability,true_label
0,0,0.511481,1
1,0,0.500000,1
2,0,0.500000,1
3,0,0.515022,1
4,0,0.505834,1
5,0,0.505081,1
6,0,0.508603,1
7,0,0.514648,1
8,0,0.515777,1
9,0,0.500000,1
10,0,0.516997,1
11,0,0.508150,1
12,0,0.512981,1
13,0,0.500000,1
14,0,0.509078,1
15,1,0.500000,1
16,0,0.511445,1
17,0,0.500000,1
18,0,0.500000,1
19,0,0.513475,1
20,0,0.510558,1
21,0,0.506955,1
22,0,0.511787,1
23,0,0.510644,1
24,0,0.526707,1
25,0,0.506826,1
26,0,0.500000,1
27,0,0.500000,1
28,0,0.514122,1
29,1,0.500000,1
30,0,0.507790,1
31,0,0.516824,1
32,0,0.500000,1
33,0,0.505707,1
34,0,0.500000,1
35,0,0.500000,1
36,0,0.500000,1
37,0,0.511541,1
38,0,0.508344,1
39,0,0.508062,1
40,0,0.500000,1
41,0,0.515851,1
42,0,0.511464,1
43,0,0.500000,1
44,0,0.506763,1
45,0,0.510785,1
46,0,0.500000,1
47,0,0.505342,1
48,0,0.510253,1
49,0,0.500000,1
50,0,0.510930,1
51,0,0.505564,1
52,0,0.511109,1
53,0,0.500000,1
54,0,0.509689,1
55,0,0.500000,1
56,0,0.507235,1
57,0,0.500000,1
58,0,0.500000,1
59,0,0.500000,1
60,0,0.500000,1
61,0,0.500000,1
62,0,0.500000,1
63,0,0.509597,1
64,0,0.507036,1
65,0,0.512917,1
66,0,0.507021,1
67,0,0.517368,1
68,0,0.517353,1
69,0,0.517365,1
70,0,0.507435,1
71,0,0.514848,1
72,0,0.512399,1
73,0,0.500000,1
74,0,0.511805,1
75,0,0.514643,1
76,0,0.500000,1
77,0,0.519190,1
78,0,0.500000,1
79,0,0.515267,1
80,0,0.510180,1
81,0,0.513658,1
82,0,0.508566,1
83,0,0.500000,1
84,0,0.509520,1
85,0,0.510012,1
86,0,0.512558,1
87,0,0.516671,1
88,0,0.509947,1
89,0,0.506632,1
90,0,0.507856,1
91,0,0.516291,1
92,0,0.519774,1
93,0,0.512515,1
94,0,0.505955,1
95,0,0.500000,1
96,0,0.500000,1
97,0,0.508693,1
98,0,0.500000,1
99,0,0.510540,1
100,0,0.500000,1
101,0,0.513116,1
102,0,0.505245,1
103,0,0.517809,1
104,0,0.512027,1
105,0,0.520458,1
106,0,0.517414,1
107,0,0.511737,1
108,0,0.500000,1
109,0,0.511016,1
110,0,0.510900,1
111,0,0.516786,1
112,0,0.505540,1
113,0,0.514562,1
114,0,0.510468,1
115,0,0.520327,1
116,0,0.507847,1
117,0,0.500000,1
118,0,0.512834,1
119,0,0.507402,1
120,0,0.508250,1
121,0,0.516639,1
122,0,0.511621,1
123,0,0.516897,1
124,0,0.505854,1
125,0,0.511523,1
126,0,0.507305,1
127,0,0.509806,1
128,0,0.511219,1
129,0,0.513296,1
130,0,0.520556,1
131,0,0.516001,1
132,0,0.509503,1
133,0,0.512087,1
134,0,0.513366,1
135,0,0.500000,1
136,0,0.507272,1
137,0,0.520682,1
138,0,0.510816,1
139,0,0.500000,1
140,0,0.511870,1
141,1,0.500000,1
142,0,0.507171,1
143,0,0.518875,1
144,0,0.510997,1
145,0,0.500000,1
146,0,0.517823,1
147,0,0.511307,1
148,0,0.517646,1
149,0,0.500000,1
150,0,0.513376,1
151,0,0.500000,1
152,0,0.507267,1
153,0,0.506946,1
154,0,0.512259,1
