# image_index,predicted_label,adversarial_probability,true_label
0,0,0.511878,0
1,0,0.500000,0
2,0,0.500000,0
3,0,0.516338,0
4,0,0.506409,0
5,0,0.505051,0
6,0,0.510861,0
7,0,0.515468,0
8,0,0.515187,0
9,0,0.500000,0
10,0,0.517500,0
11,0,0.508172,0
12,0,0.513152,0
13,0,0.500000,0
14,0,0.508737,0
15,0,0.500000,0
16,0,0.511507,0
17,0,0.500000,0
18,0,0.500000,0
19,0,0.513271,0
20,0,0.511081,0
21,0,0.507579,0
22,0,0.511984,0
23,0,0.510556,0
24,0,0.526497,0
25,0,0.507196,0
26,0,0.500000,0
27,0,0.500000,0
28,0,0.514723,0
29,1,0.500000,0
30,0,0.508338,0
31,0,0.517718,0
32,0,0.500000,0
33,0,0.506048,0
34,0,0.500000,0
35,0,0.500000,0
36,0,0.500000,0
37,0,0.511102,0
38,0,0.508493,0
39,0,0.508040,0
40,0,0.500000,0
41,0,0.515791,0
42,0,0.511602,0
43,0,0.500000,0
44,0,0.508163,0
45,0,0.511051,0
46,0,0.500000,0
47,0,0.506063,0
48,0,0.510470,0
49,0,0.500000,0
50,0,0.511410,0
51,0,0.508011,0
52,0,0.511537,0
53,0,0.500000,0
54,0,0.510401,0
55,0,0.500000,0
56,0,0.508151,0
57,0,0.500000,0
58,0,0.500000,0
59,0,0.500000,0
60,0,0.500000,0
61,0,0.500000,0
62,0,0.500000,0
63,0,0.509676,0
64,0,0.506574,0
65,0,0.514156,0
66,0,0.507674,0
67,0,0.516989,0
68,0,0.517476,0
69,0,0.517746,0
70,0,0.508227,0
71,0,0.514656,0
72,0,0.512252,0
73,0,0.505803,0
74,0,0.512750,0
75,0,0.515307,0
76,0,0.500000,0
77,0,0.518072,0
78,1,0.500000,0
79,0,0.514637,0
80,0,0.510584,0
81,0,0.514050,0
82,0,0.508760,0
83,0,0.500000,0
84,0,0.509387,0
85,0,0.510398,0
86,0,0.512175,0
87,0,0.518638,0
88,0,0.510234,0
89,0,0.507643,0
90,0,0.508314,0
91,0,0.516793,0
92,0,0.520673,0
93,0,0.512256,0
94,0,0.506959,0
95,0,0.505311,0
96,0,0.500000,0
97,0,0.508129,0
98,0,0.500000,0
99,0,0.510242,0
100,0,0.505640,0
101,0,0.513307,0
102,0,0.500000,0
103,0,0.516718,0
104,0,0.511610,0
105,0,0.521279,0
106,0,0.517367,0
107,0,0.513418,0
108,0,0.500000,0
109,0,0.511435,0
110,0,0.511679,0
111,0,0.517406,0
112,0,0.506647,0
113,0,0.514897,0
114,0,0.512963,0
115,0,0.519446,0
116,0,0.508488,0
117,0,0.500000,0
118,0,0.513397,0
119,0,0.507427,0
120,0,0.509060,0
121,0,0.517068,0
122,0,0.511785,0
123,0,0.517909,0
124,0,0.506065,0
125,0,0.511497,0
126,0,0.507029,0
127,0,0.509840,0
128,0,0.511162,0
129,0,0.514216,0
130,0,0.521170,0
131,0,0.516368,0
132,0,0.509729,0
133,0,0.511279,0
134,0,0.513428,0
135,0,0.500000,0
136,0,0.508023,0
137,0,0.520318,0
138,0,0.511742,0
139,0,0.500000,0
140,0,0.512056,0
141,1,0.500000,0
142,0,0.506809,0
143,0,0.518942,0
144,0,0.511553,0
145,0,0.500000,0
146,0,0.518844,0
147,0,0.511471,0
148,0,0.518011,0
149,0,0.500000,0
150,0,0.513693,0
151,0,0.500000,0
152,0,0.507819,0
153,0,0.507839,0
154,0,0.513100,0
155,0,0.507812,0
156,0,0.511345,0
157,0,0.500000,0
158,0,0.508577,0
159,0,0.506623,0
160,0,0.507618,0
161,0,0.500000,0
162,0,0.500000,0
163,0,0.500000,0
164,0,0.506059,0
165,0,0.507226,0
166,0,0.500000,0
167,0,0.507899,0
168,0,0.508689,0
169,0,0.513907,0
170,0,0.514078,0
171,0,0.500000,0
172,0,0.500000,0
173,0,0.517393,0
174,0,0.506788,0
175,0,0.500000,0
176,0,0.500000,0
177,0,0.500000,0
178,0,0.510298,0
179,0,0.514758,0
180,0,0.508489,0
181,0,0.500000,0
182,0,0.500000,0
183,0,0.500000,0
184,0,0.510047,0
185,0,0.521663,0
186,0,0.509926,0
187,0,0.506667,0
188,0,0.500000,0
189,0,0.507316,0
190,0,0.500000,0
191,0,0.512767,0
192,0,0.505275,0
193,0,0.513515,0
194,0,0.500000,0
195,0,0.507480,0
196,0,0.515726,0
197,0,0.510868,0
198,0,0.500000,0
199,0,0.505953,0
200,0,0.511215,0
201,0,0.509958,0
202,0,0.508053,0
203,1,0.493487,0
204,0,0.510951,0
205,0,0.505623,0
206,0,0.500000,0
207,0,0.509187,0
208,0,0.500000,0
209,0,0.500000,0
210,0,0.509453,0
211,0,0.512634,0
212,0,0.500000,0
213,0,0.506248,0
214,0,0.500000,0
215,0,0.512789,0
216,0,0.513822,0
217,0,0.500000,0
218,0,0.507236,0
219,1,0.500000,0
220,1,0.500000,0
221,0,0.510121,0
222,0,0.510388,0
223,0,0.521630,0
224,0,0.505051,0
225,0,0.508787,0
226,0,0.507807,0
227,0,0.512939,0
228,0,0.508600,0
229,0,0.509619,0
230,0,0.512274,0
231,0,0.500000,0
232,0,0.500000,0
233,0,0.510400,0
234,0,0.508795,0
235,0,0.516477,0
236,0,0.511961,0
237,0,0.500000,0
238,0,0.513160,0
239,0,0.507281,0
240,0,0.512852,0
241,0,0.507715,0
242,0,0.506623,0
243,0,0.509725,0
244,0,0.513938,0
245,0,0.513981,0
246,0,0.508575,0
247,0,0.506162,0
248,0,0.508425,0
249,0,0.520116,0
250,0,0.514005,0
251,0,0.522470,0
252,0,0.516048,0
253,0,0.512353,0
254,0,0.511088,0
255,0,0.517403,0
256,0,0.510172,0
257,0,0.519479,0
258,0,0.510279,0
259,0,0.513479,0
260,0,0.512786,0
261,0,0.509465,0
262,0,0.511114,0
263,0,0.511943,0
264,0,0.513896,0
265,0,0.514277,0
266,1,0.500000,0
267,0,0.510372,0
268,0,0.510542,0
269,0,0.515475,0
270,0,0.511921,0
271,0,0.500000,0
272,0,0.512512,0
273,0,0.506004,0
274,0,0.513773,0
275,0,0.507568,0
276,0,0.514780,0
277,0,0.511217,0
278,0,0.511270,0
279,0,0.500000,0
280,1,0.489056,0
281,0,0.500000,0
282,0,0.500000,0
283,0,0.509665,0
284,0,0.505249,0
285,1,0.500000,0
286,0,0.517573,0
287,0,0.511980,0
288,0,0.507276,0
289,0,0.508882,0
290,0,0.500000,0
291,0,0.500000,0
292,0,0.511297,0
293,0,0.500000,0
294,0,0.513299,0
295,0,0.500000,0
296,0,0.506327,0
297,0,0.508072,0
298,0,0.511603,0
299,0,0.508020,0
300,0,0.512386,0
301,0,0.512993,0
302,0,0.500000,0
303,0,0.516015,0
304,0,0.505422,0
305,0,0.500000,0
306,0,0.500000,0
307,0,0.507951,0
308,1,0.500000,0
309,0,0.508642,0
310,0,0.510601,0
311,0,0.507780,0
312,0,0.508557,0
313,0,0.510114,0
314,0,0.507205,0
315,0,0.512786,0
316,0,0.510155,0
317,0,0.508560,0
318,0,0.513520,0
319,0,0.507659,0
320,1,0.494957,0
321,0,0.505567,0
322,0,0.518256,0
323,0,0.507030,0
324,0,0.513425,0
325,0,0.500000,0
326,0,0.508022,0
327,0,0.508397,0
328,0,0.515459,0
329,0,0.523746,0
330,0,0.510479,0
331,0,0.500000,0
332,0,0.509330,0
333,0,0.500000,0
334,0,0.507479,0
335,0,0.511619,0
336,0,0.510427,0
337,0,0.509780,0
338,0,0.506352,0
339,0,0.515930,0
340,0,0.514681,0
341,0,0.516970,0
342,0,0.508126,0
343,0,0.505778,0
344,0,0.510505,0
345,0,0.506409,0
346,0,0.500000,0
347,0,0.500000,0
348,0,0.508995,0
349,0,0.506753,0
350,0,0.507881,0
351,0,0.514939,0
352,0,0.512257,0
353,0,0.509110,0
