# image_index,predicted_label,adversarial_probability,true_label
0,0,0.485609,1
1,0,0.489641,1
2,0,0.473067,1
3,0,0.473947,1
4,0,0.489155,1
5,0,0.478327,1
6,0,0.480943,1
7,0,0.482328,1
8,0,0.481331,1
9,0,0.477756,1
10,0,0.478688,1
11,0,0.492348,1
12,0,0.489238,1
13,0,0.484714,1
14,0,0.486243,1
15,0,0.475898,1
16,0,0.487184,1
17,0,0.488413,1
18,0,0.487065,1
19,0,0.471557,1
20,0,0.490537,1
21,0,0.481353,1
22,0,0.488854,1
23,0,0.481179,1
24,0,0.494550,1
25,0,0.484674,1
26,0,0.479666,1
27,0,0.478919,1
28,0,0.494462,1
29,0,0.477206,1
30,0,0.491376,1
31,0,0.491451,1
32,0,0.486666,1
33,0,0.486694,1
34,0,0.488554,1
35,0,0.489591,1
36,0,0.484236,1
37,0,0.480037,1
38,0,0.480734,1
39,0,0.485480,1
40,0,0.479503,1
41,0,0.480674,1
42,0,0.486189,1
43,0,0.479223,1
44,0,0.479884,1
45,0,0.478377,1
46,0,0.482154,1
47,0,0.492590,1
48,0,0.486925,1
49,0,0.485717,1
50,0,0.480208,1
51,0,0.484878,1
52,0,0.470924,1
53,0,0.478056,1
54,0,0.472166,1
55,0,0.484650,1
56,0,0.479274,1
57,0,0.483892,1
58,0,0.492926,1
59,0,0.483495,1
60,0,0.477102,1
61,0,0.470491,1
62,0,0.481750,1
63,0,0.489499,1
64,0,0.488895,1
65,0,0.488238,1
66,0,0.487141,1
67,0,0.488195,1
68,0,0.477942,1
69,0,0.476479,1
70,0,0.485667,1
71,0,0.476104,1
72,0,0.487403,1
73,0,0.476661,1
74,0,0.482540,1
75,0,0.481988,1
76,0,0.484505,1
77,0,0.491856,1
78,0,0.483840,1
79,0,0.472883,1
80,0,0.482053,1
81,0,0.474429,1
82,0,0.493894,1
83,0,0.480265,1
84,0,0.494867,1
85,0,0.480537,1
86,0,0.487959,1
87,0,0.473825,1
88,0,0.494302,1
89,0,0.489145,1
90,0,0.479442,1
91,0,0.489312,1
92,0,0.481277,1
93,0,0.477676,1
94,0,0.484004,1
95,0,0.481570,1
96,0,0.482207,1
97,0,0.473572,1
98,0,0.482859,1
99,0,0.500000,1
100,0,0.490130,1
101,0,0.490008,1
102,0,0.484288,1
103,0,0.477848,1
104,0,0.500000,1
105,0,0.500000,1
106,0,0.481235,1
107,0,0.486411,1
108,0,0.477971,1
109,0,0.473838,1
110,0,0.488952,1
111,0,0.481244,1
112,0,0.479046,1
113,0,0.489231,1
114,0,0.488474,1
115,0,0.486603,1
116,0,0.485847,1
117,0,0.475800,1
118,0,0.488415,1
119,0,0.482780,1
120,0,0.482349,1
121,1,0.500000,1
122,0,0.494823,1
123,0,0.479324,1
124,0,0.485696,1
125,0,0.476874,1
126,0,0.479208,1
127,0,0.493230,1
128,0,0.485585,1
129,0,0.487860,1
130,0,0.485336,1
131,0,0.492612,1
132,0,0.492924,1
133,0,0.492283,1
134,0,0.483390,1
135,0,0.481282,1
136,0,0.489739,1
137,0,0.482267,1
138,0,0.483485,1
139,0,0.476479,1
140,0,0.469961,1
141,0,0.488248,1
142,0,0.494353,1
143,0,0.482057,1
144,0,0.489237,1
145,0,0.481676,1
146,0,0.483727,1
147,0,0.484112,1
148,0,0.483563,1
149,0,0.473029,1
150,0,0.476195,1
151,0,0.489359,1
152,0,0.490122,1
153,0,0.483415,1
154,0,0.481869,1
155,0,0.472818,1
156,0,0.480859,1
157,0,0.484639,1
158,0,0.490658,1
159,0,0.482352,1
160,0,0.481524,1
161,0,0.482359,1
162,0,0.486595,1
