# image_index,predicted_label,adversarial_probability,true_label
0,0,0.483866,0
1,0,0.489028,0
2,0,0.473486,0
3,0,0.473525,0
4,0,0.489286,0
5,0,0.477980,0
6,0,0.479907,0
7,0,0.481070,0
8,0,0.480689,0
9,0,0.477664,0
10,0,0.477593,0
11,0,0.491547,0
12,0,0.487815,0
13,0,0.484624,0
14,0,0.484881,0
15,0,0.474500,0
16,0,0.486584,0
17,0,0.488139,0
18,0,0.486481,0
19,0,0.470332,0
20,0,0.490156,0
21,0,0.480574,0
22,0,0.488132,0
23,0,0.480919,0
24,0,0.493910,0
25,0,0.483008,0
26,0,0.478497,0
27,0,0.478806,0
28,0,0.494367,0
29,0,0.475869,0
30,0,0.491333,0
31,0,0.491009,0
32,0,0.485499,0
33,0,0.486505,0
34,0,0.489475,0
35,0,0.489467,0
36,0,0.483928,0
37,0,0.480733,0
38,0,0.480202,0
39,0,0.484992,0
40,0,0.477998,0
41,0,0.479177,0
42,0,0.485172,0
43,0,0.478058,0
44,0,0.479286,0
45,0,0.479053,0
46,0,0.481735,0
47,0,0.492531,0
48,0,0.486885,0
49,0,0.485948,0
50,0,0.479637,0
51,0,0.483825,0
52,0,0.470356,0
53,0,0.477276,0
54,0,0.471642,0
55,0,0.484697,0
56,0,0.478682,0
57,0,0.483252,0
58,0,0.492656,0
59,0,0.483312,0
60,0,0.476215,0
61,0,0.470648,0
62,0,0.481424,0
63,0,0.488593,0
64,0,0.488040,0
65,0,0.486927,0
66,0,0.485769,0
67,0,0.488040,0
68,0,0.477466,0
69,0,0.475972,0
70,0,0.484884,0
71,0,0.475482,0
72,0,0.487440,0
73,0,0.475895,0
74,0,0.482037,0
75,0,0.481259,0
76,0,0.485207,0
77,0,0.492257,0
78,0,0.483280,0
79,0,0.472324,0
80,0,0.482236,0
81,0,0.474448,0
82,0,0.494003,0
83,0,0.480144,0
84,0,0.493987,0
85,0,0.479564,0
86,0,0.487544,0
87,0,0.473561,0
88,0,0.493635,0
89,0,0.488832,0
90,0,0.478989,0
91,0,0.489498,0
92,0,0.481758,0
93,0,0.476425,0
94,0,0.483240,0
95,0,0.480039,0
96,0,0.481715,0
97,0,0.473125,0
98,0,0.482994,0
99,0,0.500000,0
100,0,0.489283,0
101,0,0.489041,0
102,0,0.484810,0
103,0,0.476272,0
104,0,0.494846,0
105,0,0.500000,0
106,0,0.479232,0
107,0,0.486446,0
108,0,0.477940,0
109,0,0.473486,0
110,0,0.488360,0
111,0,0.480878,0
112,0,0.478263,0
113,0,0.489419,0
114,0,0.487813,0
115,0,0.486074,0
116,0,0.485673,0
117,0,0.475773,0
118,0,0.488569,0
119,0,0.481910,0
120,0,0.482134,0
121,1,0.500000,0
122,0,0.493815,0
123,0,0.478514,0
124,0,0.485267,0
125,0,0.476541,0
126,0,0.478476,0
127,0,0.492876,0
128,0,0.484365,0
129,0,0.487980,0
130,0,0.485283,0
131,0,0.492054,0
132,0,0.492147,0
133,0,0.492518,0
134,0,0.482796,0
135,0,0.481268,0
136,0,0.489605,0
137,0,0.482066,0
138,0,0.484106,0
139,0,0.476468,0
140,0,0.469570,0
141,0,0.487204,0
142,0,0.494343,0
143,0,0.481395,0
144,0,0.489439,0
145,0,0.481323,0
146,0,0.483946,0
147,0,0.483453,0
148,0,0.483086,0
149,0,0.473034,0
150,0,0.475192,0
151,0,0.489371,0
