# image_index,predicted_label,adversarial_probability,true_label
0,0,0.493008,1
1,0,0.500000,1
2,0,0.489814,1
3,0,0.490083,1
4,0,0.500000,1
5,0,0.492214,1
6,0,0.491813,1
7,0,0.491645,1
8,0,0.492961,1
9,0,0.491187,1
10,0,0.491010,1
11,0,0.500000,1
12,0,0.494967,1
13,0,0.494433,1
14,0,0.494394,1
15,0,0.490533,1
16,0,0.494180,1
17,0,0.494922,1
18,0,0.494073,1
19,0,0.488471,1
20,0,0.493202,1
21,0,0.492657,1
22,0,0.493928,1
23,0,0.491596,1
24,0,0.500000,1
25,0,0.494716,1
26,0,0.492872,1
27,0,0.491625,1
28,0,0.500000,1
29,0,0.491408,1
30,0,0.500000,1
31,0,0.500000,1
32,0,0.500000,1
33,0,0.494674,1
34,0,0.500000,1
35,0,0.500000,1
36,0,0.493475,1
37,0,0.492262,1
38,0,0.491828,1
39,0,0.492874,1
40,0,0.490590,1
41,0,0.493542,1
42,0,0.494392,1
43,0,0.491043,1
44,0,0.493112,1
45,0,0.492610,1
46,0,0.492429,1
47,0,0.500000,1
48,0,0.494165,1
49,0,0.493437,1
50,0,0.492198,1
51,0,0.493885,1
52,0,0.489275,1
53,0,0.493111,1
54,0,0.490254,1
55,0,0.492699,1
56,0,0.491847,1
57,0,0.493301,1
58,0,0.500000,1
59,0,0.494022,1
60,0,0.492023,1
61,0,0.489857,1
62,0,0.492185,1
63,0,0.493911,1
64,0,0.494202,1
65,0,0.494743,1
66,0,0.492759,1
67,0,0.494892,1
68,0,0.491819,1
69,0,0.491095,1
70,0,0.494663,1
71,0,0.491649,1
72,0,0.500000,1
73,0,0.489214,1
74,0,0.493183,1
75,0,0.491952,1
76,0,0.500000,1
77,0,0.500000,1
78,0,0.500000,1
79,0,0.489542,1
80,0,0.493230,1
81,0,0.491192,1
82,0,0.500000,1
83,0,0.490756,1
84,0,0.500000,1
85,0,0.493488,1
86,0,0.494831,1
87,0,0.489068,1
88,1,0.500000,1
89,0,0.500000,1
90,0,0.492217,1
91,0,0.493470,1
92,0,0.493837,1
93,0,0.491103,1
94,0,0.492135,1
95,0,0.492947,1
96,0,0.490664,1
97,0,0.490171,1
98,0,0.492664,1
99,0,0.500000,1
100,0,0.500000,1
101,0,0.493920,1
102,0,0.492210,1
103,0,0.491219,1
104,0,0.500000,1
105,1,0.500000,1
106,0,0.492097,1
107,0,0.494133,1
108,0,0.491346,1
109,0,0.490117,1
110,0,0.493304,1
111,0,0.492771,1
112,0,0.491844,1
113,0,0.500000,1
114,0,0.494918,1
115,0,0.494471,1
116,0,0.493085,1
117,0,0.489297,1
118,0,0.500000,1
119,0,0.493205,1
120,0,0.494859,1
121,0,0.500000,1
122,0,0.500000,1
123,0,0.493132,1
124,0,0.492933,1
125,0,0.491466,1
126,0,0.491726,1
127,0,0.500000,1
128,0,0.493504,1
129,0,0.494239,1
130,0,0.492984,1
131,0,0.500000,1
132,0,0.500000,1
133,0,0.500000,1
134,0,0.500000,1
135,0,0.492147,1
136,0,0.500000,1
137,0,0.493441,1
138,0,0.493110,1
139,0,0.491807,1
140,0,0.488963,1
141,0,0.494074,1
142,0,0.500000,1
143,0,0.492673,1
144,0,0.494819,1
145,0,0.491506,1
146,0,0.493302,1
147,0,0.493422,1
148,0,0.493185,1
149,0,0.488918,1
150,0,0.488831,1
151,0,0.494331,1
152,0,0.500000,1
153,0,0.492635,1
154,0,0.493142,1
155,0,0.489976,1
156,0,0.492780,1
157,0,0.500000,1
158,0,0.500000,1
159,0,0.493297,1
160,0,0.494068,1
161,0,0.492472,1
162,0,0.494171,1
163,0,0.492955,1
164,0,0.500000,1
165,1,0.500000,1
166,0,0.493492,1
167,0,0.491773,1
168,0,0.491572,1
