# image_index,predicted_label,adversarial_probability,true_label
0,0,0.492746,0
1,0,0.494500,0
2,0,0.489333,0
3,0,0.490025,0
4,0,0.500000,0
5,0,0.491887,0
6,0,0.491229,0
7,0,0.490952,0
8,0,0.492760,0
9,0,0.491085,0
10,0,0.490735,0
11,0,0.500000,0
12,0,0.494505,0
13,0,0.494473,0
14,0,0.493748,0
15,0,0.490251,0
16,0,0.494077,0
17,0,0.494785,0
18,0,0.493941,0
19,0,0.487896,0
20,0,0.493031,0
21,0,0.492859,0
22,0,0.493995,0
23,0,0.490974,0
24,0,0.500000,0
25,0,0.494332,0
26,0,0.492288,0
27,0,0.491485,0
28,0,0.500000,0
29,0,0.491156,0
30,0,0.500000,0
31,0,0.500000,0
32,0,0.494797,0
33,0,0.494179,0
34,0,0.500000,0
35,0,0.500000,0
36,0,0.492308,0
37,0,0.491909,0
38,0,0.491532,0
39,0,0.492683,0
40,0,0.490542,0
41,0,0.492752,0
42,0,0.494297,0
43,0,0.490812,0
44,0,0.493228,0
45,0,0.492342,0
46,0,0.492367,0
47,0,0.494849,0
48,0,0.493675,0
49,0,0.493110,0
50,0,0.491764,0
51,0,0.492925,0
52,0,0.488933,0
53,0,0.493097,0
54,0,0.490351,0
55,0,0.493042,0
56,0,0.491860,0
57,0,0.493360,0
58,0,0.500000,0
59,0,0.493769,0
60,0,0.491527,0
61,0,0.489749,0
62,0,0.492144,0
63,0,0.493482,0
64,0,0.493949,0
65,0,0.493585,0
66,0,0.492557,0
67,0,0.494961,0
68,0,0.491523,0
69,0,0.490905,0
70,0,0.494497,0
71,0,0.491341,0
72,0,0.500000,0
73,0,0.489158,0
74,0,0.493184,0
75,0,0.492103,0
76,0,0.500000,0
77,0,0.500000,0
78,0,0.494456,0
79,0,0.489185,0
80,0,0.492906,0
81,0,0.490229,0
82,0,0.500000,0
83,0,0.490527,0
84,0,0.500000,0
85,0,0.492498,0
86,0,0.494455,0
87,0,0.488830,0
88,1,0.500000,0
89,0,0.500000,0
90,0,0.491999,0
91,0,0.492693,0
92,0,0.493695,0
93,0,0.490823,0
94,0,0.492016,0
95,0,0.492869,0
96,0,0.490784,0
97,0,0.490261,0
98,0,0.491965,0
99,0,0.500000,0
100,0,0.500000,0
101,0,0.493525,0
102,0,0.492577,0
103,0,0.490938,0
104,0,0.500000,0
105,1,0.500000,0
106,0,0.491680,0
107,0,0.494140,0
108,0,0.491179,0
109,0,0.490254,0
110,0,0.492951,0
111,0,0.492560,0
112,0,0.491761,0
113,0,0.494764,0
114,0,0.494971,0
115,0,0.494093,0
116,0,0.493044,0
117,0,0.489365,0
118,0,0.500000,0
119,0,0.492803,0
120,0,0.494301,0
121,1,0.500000,0
122,0,0.500000,0
123,0,0.492833,0
124,0,0.492883,0
125,0,0.491115,0
126,0,0.491272,0
127,0,0.500000,0
128,0,0.492344,0
129,0,0.494182,0
130,0,0.492938,0
131,0,0.500000,0
132,0,0.500000,0
133,0,0.500000,0
134,0,0.494466,0
135,0,0.491934,0
136,0,0.500000,0
137,0,0.492954,0
138,0,0.492892,0
139,0,0.491314,0
140,0,0.488474,0
141,0,0.494179,0
142,0,0.500000,0
143,0,0.492160,0
144,0,0.494461,0
145,0,0.491490,0
146,0,0.492547,0
147,0,0.492931,0
148,0,0.493148,0
149,0,0.488882,0
150,0,0.489029,0
151,0,0.494592,0
152,0,0.500000,0
153,0,0.492598,0
154,0,0.493021,0
155,0,0.489603,0
156,0,0.492707,0
157,0,0.494979,0
158,0,0.500000,0
159,0,0.493090,0
160,0,0.493696,0
161,0,0.492117,0
162,0,0.493876,0
163,0,0.492548,0
164,0,0.500000,0
165,1,0.500000,0
166,0,0.493393,0
167,0,0.491300,0
168,0,0.491505,0
169,0,0.494311,0
170,0,0.491396,0
171,0,0.500000,0
172,0,0.491952,0
173,0,0.493250,0
174,0,0.494926,0
175,0,0.489954,0
176,0,0.491993,0
177,0,0.491685,0
178,0,0.500000,0
179,0,0.490929,0
180,0,0.493040,0
181,0,0.492914,0
182,0,0.489401,0
183,0,0.492243,0
184,0,0.493683,0
185,0,0.493022,0
186,0,0.493668,0
187,0,0.492309,0
188,0,0.500000,0
189,0,0.492990,0
190,0,0.493752,0
191,0,0.493285,0
192,0,0.493712,0
193,0,0.492762,0
194,0,0.490888,0
195,0,0.493160,0
196,0,0.491394,0
197,0,0.490813,0
198,0,0.488144,0
199,0,0.492946,0
200,0,0.489811,0
201,0,0.500000,0
202,1,0.500000,0
203,0,0.490578,0
204,0,0.492690,0
205,0,0.493348,0
206,0,0.494036,0
207,0,0.491054,0
208,0,0.492033,0
209,0,0.492702,0
210,0,0.493859,0
211,0,0.492103,0
212,0,0.491806,0
213,0,0.492907,0
214,0,0.493860,0
215,0,0.494463,0
216,0,0.500000,0
217,0,0.493460,0
218,0,0.493304,0
219,0,0.491651,0
220,0,0.493385,0
221,0,0.493254,0
222,0,0.492162,0
223,0,0.492907,0
224,0,0.494179,0
225,0,0.490989,0
226,0,0.500000,0
227,0,0.494562,0
228,0,0.493746,0
229,0,0.500000,0
230,0,0.493632,0
231,0,0.491471,0
232,0,0.493041,0
233,0,0.494184,0
234,0,0.492797,0
235,0,0.493958,0
236,0,0.494032,0
237,0,0.489216,0
238,0,0.492205,0
239,0,0.493676,0
240,0,0.492344,0
241,0,0.494076,0
242,0,0.491891,0
243,0,0.491959,0
244,0,0.489742,0
245,0,0.492146,0
246,0,0.494333,0
247,0,0.493471,0
248,0,0.493455,0
249,0,0.494551,0
250,0,0.494428,0
251,0,0.490119,0
252,0,0.491397,0
253,0,0.490228,0
254,0,0.492660,0
255,0,0.490586,0
256,0,0.492826,0
257,0,0.490882,0
258,0,0.493167,0
259,0,0.493628,0
260,0,0.493055,0
261,0,0.490076,0
262,0,0.500000,0
263,0,0.491524,0
264,0,0.490267,0
265,0,0.494332,0
266,0,0.492579,0
267,0,0.493587,0
268,0,0.494893,0
269,0,0.491715,0
270,0,0.493423,0
271,0,0.500000,0
272,0,0.491609,0
273,0,0.492568,0
274,0,0.491282,0
275,0,0.492431,0
276,0,0.493342,0
277,0,0.491304,0
278,0,0.491927,0
279,0,0.490973,0
280,0,0.489944,0
281,0,0.494062,0
282,0,0.491582,0
283,0,0.491692,0
284,0,0.492865,0
285,0,0.493338,0
286,0,0.491781,0
287,0,0.493582,0
288,0,0.492295,0
289,0,0.493405,0
290,0,0.492329,0
291,0,0.493022,0
292,0,0.490130,0
293,0,0.494057,0
294,0,0.493690,0
295,0,0.491010,0
296,0,0.492998,0
297,0,0.493910,0
298,0,0.488419,0
299,0,0.494015,0
300,0,0.489713,0
301,0,0.489943,0
302,0,0.492899,0
303,0,0.500000,0
304,0,0.492792,0
305,0,0.492958,0
306,0,0.494985,0
307,0,0.491876,0
308,0,0.488867,0
309,0,0.494297,0
310,0,0.491486,0
311,0,0.492349,0
312,0,0.491591,0
313,0,0.493825,0
314,0,0.500000,0
315,0,0.494476,0
316,0,0.500000,0
317,0,0.500000,0
318,0,0.490577,0
319,0,0.494136,0
320,0,0.493821,0
321,0,0.493397,0
322,0,0.494180,0
323,0,0.489792,0
324,0,0.489819,0
325,0,0.492499,0
326,0,0.491861,0
327,0,0.493595,0
328,0,0.491929,0
329,0,0.491755,0
330,0,0.500000,0
331,0,0.494945,0
332,0,0.494323,0
333,0,0.492754,0
334,0,0.493233,0
335,0,0.493786,0
336,0,0.493692,0
337,0,0.488782,0
338,0,0.492200,0
339,0,0.500000,0
340,0,0.493794,0
341,0,0.494463,0
342,0,0.492750,0
343,0,0.494705,0
344,0,0.490702,0
345,0,0.491708,0
346,0,0.492161,0
347,0,0.492888,0
348,0,0.489527,0
349,0,0.492180,0
350,0,0.491044,0
351,0,0.488113,0
352,0,0.493635,0
353,0,0.492326,0
354,0,0.500000,0
355,0,0.492262,0
356,0,0.492060,0
357,0,0.493288,0
358,0,0.500000,0
359,0,0.500000,0
360,0,0.494169,0
361,0,0.490806,0
362,0,0.491967,0
363,0,0.493534,0
364,0,0.492781,0
365,0,0.491594,0
366,0,0.492612,0
367,0,0.492308,0
368,0,0.489956,0
369,0,0.490447,0
370,0,0.492858,0
371,0,0.491956,0
372,0,0.500000,0
373,0,0.500000,0
374,0,0.492369,0
375,0,0.494342,0
376,0,0.493302,0
377,0,0.495000,0
378,0,0.500000,0
379,0,0.492528,0
380,0,0.500000,0
381,0,0.491656,0
382,0,0.491196,0
383,0,0.494245,0
384,0,0.491632,0
385,0,0.494792,0
386,0,0.492453,0
387,0,0.493248,0
388,0,0.490515,0
389,0,0.492561,0
390,0,0.491399,0
391,0,0.490318,0
392,0,0.500000,0
393,0,0.500000,0
394,0,0.493399,0
395,0,0.494380,0
396,0,0.489513,0
397,0,0.493876,0
398,0,0.490906,0
399,0,0.494150,0
400,0,0.492875,0
401,0,0.490192,0
402,0,0.491435,0
403,0,0.500000,0
404,0,0.494118,0
405,0,0.492587,0
406,0,0.493695,0
407,0,0.493405,0
408,0,0.494344,0
409,0,0.488229,0
410,0,0.494100,0
411,0,0.500000,0
412,0,0.491869,0
413,0,0.493689,0
414,0,0.490154,0
415,0,0.490269,0
416,0,0.492122,0
417,0,0.491931,0
418,0,0.491393,0
419,0,0.490483,0
420,0,0.492661,0
421,0,0.494517,0
422,0,0.491410,0
423,0,0.494203,0
424,0,0.493728,0
425,0,0.490198,0
426,0,0.489195,0
427,0,0.492864,0
428,0,0.500000,0
429,0,0.492750,0
430,0,0.491306,0
431,0,0.494432,0
432,0,0.500000,0
433,0,0.493861,0
434,0,0.492548,0
435,0,0.492422,0
436,0,0.489222,0
437,0,0.489975,0
438,0,0.493296,0
439,0,0.491063,0
440,0,0.490615,0
441,0,0.492143,0
442,0,0.494888,0
443,0,0.493252,0
444,0,0.494972,0
445,0,0.491657,0
446,0,0.492719,0
447,0,0.493423,0
448,1,0.500000,0
449,0,0.490936,0
450,0,0.492450,0
451,0,0.493939,0
452,0,0.492630,0
453,0,0.491606,0
454,0,0.491760,0
455,0,0.490309,0
456,0,0.488810,0
457,1,0.500000,0
458,0,0.491258,0
459,0,0.494419,0
460,0,0.493813,0
461,0,0.492239,0
462,0,0.493108,0
463,0,0.494612,0
464,0,0.493607,0
465,0,0.500000,0
466,0,0.488968,0
467,0,0.500000,0
468,0,0.494609,0
469,0,0.492739,0
470,0,0.500000,0
471,0,0.500000,0
472,0,0.491484,0
473,0,0.492626,0
474,0,0.494564,0
475,0,0.494578,0
476,0,0.494566,0
477,0,0.494702,0
478,0,0.489501,0
479,0,0.491139,0
