# image_index,predicted_label,adversarial_probability,true_label
0,0,0.862965,1
1,0,0.643058,1
2,0,0.621791,1
3,0,0.852300,1
4,0,0.655292,1
5,0,0.634816,1
6,0,0.777472,1
7,0,0.830236,1
8,0,0.856347,1
9,0,0.675048,1
10,0,0.834730,1
11,0,0.735454,1
12,0,0.791650,1
13,0,0.703483,1
14,0,0.786362,1
15,1,0.474434,1
16,0,0.754045,1
17,0,0.566801,1
18,0,0.555542,1
19,0,0.808741,1
20,0,0.773906,1
21,0,0.770668,1
22,0,0.809375,1
23,0,0.768885,1
24,0,0.935963,1
25,0,0.790403,1
26,0,0.698834,1
27,0,0.602908,1
28,0,0.860207,1
29,1,0.442338,1
30,0,0.778573,1
31,0,0.876229,1
32,0,0.522283,1
33,0,0.715558,1
34,0,0.589865,1
35,0,0.712556,1
36,1,0.465344,1
37,0,0.853065,1
38,0,0.746201,1
39,0,0.724612,1
40,0,0.583347,1
41,0,0.839283,1
42,0,0.835693,1
43,0,0.672018,1
44,0,0.713605,1
45,0,0.761368,1
46,0,0.711420,1
47,0,0.683730,1
48,0,0.823809,1
49,0,0.647442,1
50,0,0.805496,1
51,0,0.820095,1
52,0,0.826523,1
53,0,0.725414,1
54,0,0.741279,1
55,0,0.646351,1
56,0,0.695544,1
57,0,0.529505,1
58,0,0.626884,1
59,0,0.591618,1
60,0,0.583602,1
61,0,0.609460,1
62,0,0.500000,1
63,0,0.785825,1
64,0,0.788467,1
65,0,0.893734,1
66,0,0.663633,1
67,0,0.815627,1
68,0,0.889806,1
69,0,0.902915,1
70,0,0.698735,1
71,0,0.806380,1
72,0,0.803942,1
73,0,0.641629,1
74,0,0.769721,1
75,0,0.850950,1
76,0,0.725064,1
77,0,0.886689,1
78,0,0.605114,1
79,0,0.854695,1
80,0,0.775413,1
81,0,0.834846,1
82,0,0.772040,1
83,0,0.599863,1
84,0,0.774554,1
85,0,0.799500,1
86,0,0.790928,1
87,0,0.876034,1
88,0,0.788415,1
89,0,0.813766,1
90,0,0.621629,1
91,0,0.872120,1
92,0,0.907449,1
93,0,0.785764,1
94,0,0.758684,1
95,0,0.571178,1
96,0,0.579726,1
97,0,0.743184,1
98,0,0.500000,1
99,0,0.744360,1
100,0,0.635538,1
101,0,0.849698,1
102,0,0.714163,1
103,0,0.883694,1
104,0,0.713826,1
105,0,0.894794,1
106,0,0.912843,1
107,0,0.832547,1
108,0,0.636835,1
109,0,0.832323,1
110,0,0.767551,1
111,0,0.873001,1
112,0,0.702538,1
113,0,0.870328,1
114,0,0.808762,1
115,0,0.896133,1
116,0,0.747771,1
117,0,0.648081,1
118,0,0.822791,1
119,0,0.798121,1
120,0,0.731297,1
121,0,0.867946,1
122,0,0.709521,1
123,0,0.904619,1
124,0,0.709374,1
125,0,0.800470,1
126,0,0.783778,1
127,0,0.713837,1
128,0,0.795211,1
129,0,0.829851,1
130,0,0.902196,1
131,0,0.889077,1
132,0,0.761096,1
133,0,0.811002,1
134,0,0.863662,1
135,0,0.623952,1
136,0,0.666076,1
137,0,0.899118,1
138,0,0.846502,1
139,0,0.622359,1
140,0,0.864488,1
141,1,0.479571,1
142,0,0.747732,1
143,0,0.905814,1
144,0,0.820403,1
145,1,0.481653,1
146,0,0.870881,1
147,0,0.815573,1
148,0,0.885289,1
149,0,0.643716,1
150,0,0.833386,1
151,0,0.665595,1
152,0,0.726305,1
153,0,0.716827,1
154,0,0.731180,1
155,0,0.703536,1
156,0,0.731065,1
157,1,0.418468,1
158,0,0.778571,1
159,0,0.626696,1
160,0,0.723057,1
161,0,0.500000,1
162,0,0.521869,1
163,0,0.708738,1
164,0,0.742208,1
165,0,0.690520,1
166,0,0.658087,1
167,0,0.751261,1
168,0,0.712196,1
169,0,0.814390,1
170,0,0.855101,1
171,0,0.648460,1
172,0,0.609651,1
173,0,0.846506,1
174,0,0.778279,1
175,0,0.623480,1
176,0,0.647844,1
177,0,0.668253,1
178,0,0.757849,1
179,0,0.862489,1
180,0,0.725160,1
181,0,0.618635,1
182,1,0.448492,1
183,0,0.643557,1
184,0,0.681171,1
185,0,0.924002,1
186,0,0.720039,1
187,0,0.711929,1
188,0,0.597276,1
189,0,0.682492,1
190,0,0.620943,1
191,0,0.822611,1
192,0,0.680097,1
193,0,0.861161,1
194,0,0.559047,1
195,0,0.737505,1
196,0,0.829393,1
197,0,0.739670,1
198,0,0.609567,1
199,0,0.601531,1
200,0,0.754938,1
201,0,0.739531,1
202,0,0.756492,1
203,1,0.430199,1
204,0,0.781787,1
205,0,0.694867,1
206,1,0.482310,1
207,0,0.704634,1
208,0,0.740716,1
209,0,0.557766,1
