# image_index,predicted_label,adversarial_probability,true_label
0,0,0.867490,0
1,0,0.645930,0
2,0,0.648234,0
3,0,0.850590,0
4,0,0.658988,0
5,0,0.620578,0
6,0,0.786247,0
7,0,0.831022,0
8,0,0.857511,0
9,0,0.663698,0
10,0,0.842034,0
11,0,0.737134,0
12,0,0.790548,0
13,0,0.702102,0
14,0,0.778717,0
15,1,0.473807,0
16,0,0.750722,0
17,0,0.572371,0
18,0,0.543580,0
19,0,0.811301,0
20,0,0.774299,0
21,0,0.772530,0
22,0,0.817140,0
23,0,0.768074,0
24,0,0.936233,0
25,0,0.787457,0
26,0,0.681423,0
27,0,0.604478,0
28,0,0.862343,0
29,1,0.439368,0
30,0,0.794555,0
31,0,0.879137,0
32,0,0.509969,0
33,0,0.705518,0
34,0,0.588363,0
35,0,0.707110,0
36,1,0.479618,0
37,0,0.847324,0
38,0,0.762375,0
39,0,0.732800,0
40,0,0.573522,0
41,0,0.837093,0
42,0,0.832582,0
43,0,0.680503,0
44,0,0.730692,0
45,0,0.765390,0
46,0,0.704926,0
47,0,0.693519,0
48,0,0.830324,0
49,0,0.647219,0
50,0,0.811256,0
51,0,0.832176,0
52,0,0.835291,0
53,0,0.721137,0
54,0,0.747457,0
55,0,0.646984,0
56,0,0.711457,0
57,0,0.533445,0
58,0,0.654327,0
59,0,0.587802,0
60,0,0.598540,0
61,0,0.615568,0
62,0,0.512602,0
63,0,0.788672,0
64,0,0.796995,0
65,0,0.895006,0
66,0,0.666682,0
67,0,0.813309,0
68,0,0.889091,0
69,0,0.905697,0
70,0,0.710346,0
71,0,0.805883,0
72,0,0.803369,0
73,0,0.659818,0
74,0,0.776924,0
75,0,0.850001,0
76,0,0.728378,0
77,0,0.884149,0
78,0,0.598575,0
79,0,0.854759,0
80,0,0.785531,0
81,0,0.833511,0
82,0,0.771978,0
83,0,0.602505,0
84,0,0.781396,0
85,0,0.792063,0
86,0,0.793662,0
87,0,0.883046,0
88,0,0.790583,0
89,0,0.814248,0
90,0,0.618529,0
91,0,0.870224,0
92,0,0.907995,0
93,0,0.785765,0
94,0,0.762872,0
95,0,0.573270,0
96,0,0.588459,0
97,0,0.746125,0
98,0,0.511971,0
99,0,0.743765,0
100,0,0.644145,0
101,0,0.845130,0
102,0,0.706836,0
103,0,0.878933,0
104,0,0.726483,0
105,0,0.896151,0
106,0,0.905520,0
107,0,0.831355,0
108,0,0.650863,0
109,0,0.842972,0
110,0,0.782773,0
111,0,0.867379,0
112,0,0.718216,0
113,0,0.873964,0
114,0,0.824415,0
115,0,0.893354,0
116,0,0.748516,0
117,0,0.647194,0
118,0,0.828972,0
119,0,0.811925,0
120,0,0.747792,0
