# image_index,predicted_label,adversarial_probability,true_label
0,0,0.788460,0
1,0,0.586891,0
2,1,0.480147,0
3,0,0.835191,0
4,0,0.682808,0
5,0,0.634461,0
6,0,0.739519,0
7,0,0.849311,0
8,0,0.785883,0
9,0,0.624971,0
10,0,0.868215,0
11,0,0.676569,0
12,0,0.790506,0
13,0,0.629586,0
14,0,0.759533,0
15,0,0.492468,0
16,0,0.753605,0
17,1,0.480599,0
18,1,0.449050,0
19,0,0.801916,0
20,0,0.718085,0
21,0,0.709601,0
22,0,0.744847,0
23,0,0.763609,0
24,0,0.932978,0
25,0,0.689583,0
26,0,0.556759,0
27,0,0.591603,0
28,0,0.783304,0
29,1,0.430536,0
30,0,0.673936,0
31,0,0.825147,0
32,0,0.524153,0
33,0,0.706855,0
34,0,0.556855,0
35,0,0.650974,0
36,1,0.458457,0
37,0,0.778436,0
38,0,0.701950,0
39,0,0.697310,0
40,0,0.594361,0
41,0,0.807744,0
42,0,0.762615,0
43,0,0.599943,0
44,0,0.695904,0
45,0,0.790101,0
46,0,0.551203,0
47,0,0.636927,0
48,0,0.742500,0
49,0,0.597808,0
50,0,0.780455,0
51,0,0.733079,0
52,0,0.745379,0
53,0,0.634147,0
54,0,0.716894,0
55,0,0.648052,0
56,0,0.669921,0
57,0,0.550780,0
58,0,0.597430,0
59,0,0.596944,0
60,0,0.566676,0
61,0,0.637344,0
62,0,0.483220,0
63,0,0.742431,0
64,0,0.651162,0
65,0,0.796885,0
66,0,0.672873,0
67,0,0.836482,0
68,0,0.854194,0
69,0,0.853769,0
70,0,0.670953,0
71,0,0.802445,0
72,0,0.765722,0
73,0,0.612943,0
74,0,0.787689,0
75,0,0.797184,0
76,0,0.597368,0
77,0,0.834226,0
78,0,0.494047,0
79,0,0.799335,0
80,0,0.713115,0
81,0,0.781967,0
82,0,0.715411,0
83,0,0.607990,0
84,0,0.747490,0
85,0,0.759470,0
86,0,0.770710,0
87,0,0.852131,0
88,0,0.732991,0
89,0,0.723354,0
90,0,0.709500,0
91,0,0.831637,0
92,0,0.860364,0
93,0,0.775549,0
94,0,0.682563,0
95,0,0.618346,0
96,0,0.549597,0
97,0,0.694958,0
98,0,0.543318,0
99,0,0.766455,0
100,0,0.622342,0
101,0,0.805114,0
102,0,0.621899,0
103,0,0.846573,0
104,0,0.770290,0
105,0,0.884937,0
106,0,0.851050,0
107,0,0.822274,0
108,0,0.602475,0
109,0,0.779461,0
110,0,0.755830,0
111,0,0.851857,0
112,0,0.669093,0
113,0,0.832178,0
114,0,0.760669,0
115,0,0.865877,0
116,0,0.702216,0
117,0,0.573190,0
118,0,0.803985,0
119,0,0.700641,0
120,0,0.748365,0
121,0,0.839240,0
122,0,0.759533,0
123,0,0.863999,0
124,0,0.638518,0
125,0,0.764611,0
126,0,0.655918,0
127,0,0.721177,0
128,0,0.747531,0
129,0,0.821476,0
130,0,0.905799,0
131,0,0.834451,0
132,0,0.746316,0
133,0,0.739839,0
134,0,0.777355,0
135,0,0.538253,0
136,0,0.686477,0
137,0,0.850421,0
138,0,0.761712,0
139,0,0.623934,0
140,0,0.762411,0
141,1,0.404677,0
142,0,0.655352,0
143,0,0.881758,0
144,0,0.726166,0
145,0,0.508361,0
146,0,0.900485,0
147,0,0.785690,0
148,0,0.845978,0
149,0,0.519326,0
150,0,0.809192,0
151,0,0.517887,0
152,0,0.656333,0
153,0,0.680091,0
154,0,0.773373,0
155,0,0.691885,0
156,0,0.758001,0
157,1,0.473147,0
158,0,0.770851,0
159,0,0.649363,0
160,0,0.707702,0
161,0,0.521682,0
162,0,0.526805,0
163,0,0.632907,0
164,0,0.656502,0
165,0,0.652702,0
166,1,0.447951,0
167,0,0.717753,0
168,0,0.680063,0
169,0,0.804824,0
170,0,0.789021,0
171,0,0.596925,0
172,0,0.500000,0
173,0,0.816381,0
174,0,0.700251,0
175,0,0.579969,0
176,0,0.568328,0
177,0,0.628937,0
178,0,0.774862,0
179,0,0.794451,0
180,0,0.659619,0
181,0,0.523597,0
182,0,0.500000,0
183,0,0.500000,0
184,0,0.703569,0
185,0,0.914847,0
186,0,0.753633,0
187,0,0.645620,0
188,0,0.546000,0
189,0,0.653029,0
190,0,0.589260,0
191,0,0.735536,0
192,0,0.602234,0
193,0,0.818848,0
194,0,0.563327,0
195,0,0.665351,0
196,0,0.799280,0
197,0,0.725162,0
198,0,0.624546,0
199,0,0.637589,0
200,0,0.781222,0
201,0,0.724368,0
202,0,0.714290,0
203,1,0.392394,0
204,0,0.728583,0
205,0,0.652954,0
206,1,0.476995,0
207,0,0.706816,0
208,0,0.643974,0
209,1,0.478671,0
210,0,0.737768,0
211,0,0.761428,0
212,0,0.486702,0
213,0,0.657700,0
214,0,0.580414,0
215,0,0.765726,0
216,0,0.830633,0
217,0,0.520561,0
218,0,0.669530,0
219,1,0.410212,0
220,1,0.422367,0
221,0,0.747878,0
222,0,0.734323,0
223,0,0.893513,0
224,0,0.644402,0
225,0,0.668050,0
226,0,0.668400,0
227,0,0.772473,0
228,0,0.713454,0
229,0,0.723256,0
230,0,0.745591,0
231,0,0.641132,0
232,0,0.500000,0
233,0,0.649990,0
234,0,0.657170,0
235,0,0.812257,0
236,0,0.732484,0
237,0,0.602325,0
238,0,0.800718,0
239,0,0.676928,0
240,0,0.790287,0
241,0,0.689015,0
242,0,0.667840,0
243,0,0.705878,0
244,0,0.778145,0
245,0,0.810435,0
246,0,0.717161,0
247,0,0.660630,0
248,0,0.734662,0
249,0,0.890770,0
250,0,0.784774,0
251,0,0.887184,0
252,0,0.819986,0
253,0,0.763474,0
254,0,0.735877,0
255,0,0.849623,0
256,0,0.754770,0
257,0,0.877605,0
258,0,0.720755,0
259,0,0.799299,0
260,0,0.776442,0
261,0,0.722724,0
262,0,0.759195,0
263,0,0.790665,0
264,0,0.815739,0
265,0,0.824842,0
266,1,0.393438,0
267,0,0.753765,0
268,0,0.723482,0
269,0,0.840399,0
270,0,0.788544,0
271,0,0.517114,0
272,0,0.755347,0
273,0,0.613332,0
274,0,0.815771,0
275,0,0.716229,0
276,0,0.824663,0
277,0,0.777430,0
278,0,0.758388,0
279,0,0.578502,0
280,1,0.304008,0
281,0,0.613947,0
282,0,0.607230,0
283,0,0.736557,0
284,0,0.617935,0
285,1,0.457114,0
286,0,0.852324,0
287,0,0.756316,0
288,0,0.680720,0
289,0,0.728146,0
290,0,0.484898,0
291,0,0.549677,0
292,0,0.739028,0
293,0,0.573690,0
294,0,0.786278,0
295,1,0.390729,0
296,0,0.672992,0
297,0,0.703516,0
298,0,0.778011,0
299,0,0.615974,0
300,0,0.772941,0
301,0,0.744992,0
302,0,0.488655,0
303,0,0.815386,0
304,0,0.607565,0
305,0,0.507703,0
306,0,0.594656,0
307,0,0.651297,0
308,0,0.510314,0
309,0,0.753090,0
310,0,0.759641,0
311,0,0.736455,0
312,0,0.711487,0
313,0,0.728912,0
314,0,0.676613,0
315,0,0.816096,0
316,0,0.731568,0
317,0,0.723314,0
318,0,0.794632,0
319,0,0.658631,0
320,1,0.419819,0
321,0,0.636289,0
322,0,0.863324,0
323,0,0.632485,0
324,0,0.760802,0
325,0,0.622381,0
326,0,0.687004,0
327,0,0.713190,0
328,0,0.827588,0
329,0,0.902222,0
330,0,0.742070,0
331,0,0.582262,0
332,0,0.745518,0
333,0,0.500000,0
334,0,0.660377,0
335,0,0.764321,0
336,0,0.738372,0
337,0,0.721585,0
338,0,0.645186,0
339,0,0.820503,0
340,0,0.811933,0
341,0,0.818260,0
342,0,0.678697,0
343,0,0.657735,0
344,0,0.714172,0
345,0,0.644550,0
346,0,0.566465,0
347,0,0.578303,0
348,0,0.697203,0
349,0,0.687973,0
350,0,0.659766,0
351,0,0.809787,0
352,0,0.795607,0
353,0,0.721194,0
354,1,0.328503,0
355,0,0.541142,0
356,0,0.765223,0
357,0,0.541551,0
358,0,0.693013,0
359,0,0.686594,0
360,0,0.771102,0
361,0,0.840032,0
362,0,0.728705,0
363,0,0.701873,0
364,0,0.661274,0
365,0,0.816290,0
366,0,0.845885,0
367,0,0.537800,0
368,0,0.851868,0
369,0,0.785574,0
370,1,0.300286,0
371,0,0.808270,0
372,0,0.768362,0
373,0,0.488326,0
374,0,0.793666,0
375,0,0.790432,0
376,0,0.807400,0
377,0,0.563056,0
378,0,0.608762,0
379,0,0.813389,0
380,0,0.720036,0
381,0,0.866028,0
382,0,0.588122,0
383,0,0.570756,0
384,0,0.832136,0
385,0,0.684137,0
386,0,0.645882,0
387,0,0.762410,0
