# image_index,predicted_label,adversarial_probability,true_label
0,0,0.890188,1
1,0,0.843241,1
2,0,0.977622,1
3,0,0.968894,1
4,0,0.747776,1
5,0,0.967378,1
6,0,0.916782,1
7,0,0.925473,1
8,0,0.936634,1
9,0,0.959850,1
10,0,0.946856,1
11,1,0.490312,1
12,0,0.693676,1
13,0,0.848086,1
14,0,0.849218,1
15,0,0.941042,1
16,0,0.847582,1
17,0,0.795143,1
18,0,0.857315,1
19,0,0.972987,1
20,0,0.778567,1
21,0,0.911491,1
22,0,0.768866,1
23,0,0.912864,1
24,1,0.481398,1
25,0,0.823376,1
26,0,0.941245,1
27,0,0.944626,1
28,0,0.616260,1
29,0,0.945337,1
30,0,0.692917,1
31,0,0.609677,1
32,0,0.765689,1
33,0,0.882463,1
34,0,0.803762,1
35,0,0.709211,1
36,0,0.911857,1
37,0,0.932613,1
38,0,0.939570,1
39,0,0.779521,1
40,0,0.947395,1
41,0,0.868219,1
42,0,0.813229,1
43,0,0.947547,1
44,0,0.933413,1
45,0,0.935409,1
46,0,0.914287,1
47,1,0.461395,1
48,0,0.778957,1
49,0,0.824043,1
50,0,0.940633,1
51,0,0.845163,1
52,0,0.983617,1
53,0,0.896026,1
54,0,0.980741,1
55,0,0.876600,1
56,0,0.961868,1
57,0,0.895961,1
58,0,0.668329,1
59,0,0.823982,1
60,0,0.953328,1
61,0,0.983132,1
62,0,0.877863,1
63,0,0.838269,1
64,0,0.799115,1
65,0,0.808405,1
66,0,0.905679,1
67,0,0.795651,1
68,0,0.932425,1
69,0,0.970251,1
70,0,0.840073,1
71,0,0.972580,1
72,0,0.797037,1
73,0,0.960098,1
74,0,0.901842,1
75,0,0.907515,1
76,0,0.823833,1
77,0,0.670335,1
78,0,0.914758,1
79,0,0.974109,1
80,0,0.896870,1
81,0,0.959013,1
82,1,0.478784,1
83,0,0.939812,1
84,0,0.588766,1
85,0,0.947000,1
86,0,0.848179,1
87,0,0.983589,1
88,0,0.559568,1
89,0,0.746764,1
90,0,0.904407,1
91,0,0.783988,1
92,0,0.938633,1
93,0,0.960071,1
94,0,0.921005,1
95,0,0.921650,1
96,0,0.921934,1
97,0,0.940170,1
98,0,0.933870,1
99,0,0.636427,1
100,0,0.741329,1
101,0,0.764393,1
102,0,0.907616,1
103,0,0.926204,1
104,0,0.500000,1
105,0,0.567758,1
106,0,0.917033,1
107,0,0.835617,1
108,0,0.949794,1
109,0,0.972542,1
110,0,0.824207,1
111,0,0.905281,1
112,0,0.967151,1
113,0,0.798377,1
114,0,0.797097,1
115,0,0.891044,1
116,0,0.907196,1
117,0,0.968971,1
118,0,0.851151,1
119,0,0.925123,1
120,0,0.886450,1
121,1,0.393157,1
122,1,0.431455,1
123,0,0.920918,1
124,0,0.847110,1
125,0,0.955362,1
126,0,0.928388,1
127,0,0.733768,1
128,0,0.885472,1
129,0,0.871480,1
130,0,0.827835,1
131,0,0.622392,1
132,0,0.680480,1
133,0,0.633616,1
134,0,0.754972,1
135,0,0.940347,1
136,0,0.828491,1
137,0,0.893344,1
138,0,0.862574,1
139,0,0.905663,1
140,0,0.982364,1
141,0,0.747704,1
142,0,0.522372,1
143,0,0.922907,1
144,0,0.755105,1
145,0,0.923255,1
146,0,0.908708,1
147,0,0.898106,1
148,0,0.919042,1
149,0,0.975087,1
150,0,0.970069,1
151,0,0.727826,1
152,0,0.680109,1
153,0,0.898196,1
154,0,0.923414,1
155,0,0.975157,1
156,0,0.927204,1
157,0,0.817978,1
158,0,0.723026,1
159,0,0.920530,1
160,0,0.903868,1
161,0,0.888084,1
162,0,0.836341,1
163,0,0.902856,1
164,0,0.536874,1
165,1,0.349803,1
166,0,0.898479,1
167,0,0.954875,1
168,0,0.942232,1
169,0,0.868730,1
170,0,0.963378,1
171,0,0.748144,1
172,0,0.930502,1
173,0,0.786035,1
174,0,0.708473,1
175,0,0.963647,1
176,0,0.895499,1
177,0,0.881648,1
178,0,0.744527,1
179,0,0.947348,1
180,0,0.899846,1
181,0,0.862697,1
182,0,0.980034,1
183,0,0.877281,1
184,0,0.803025,1
185,0,0.913849,1
186,0,0.780246,1
187,0,0.888579,1
188,0,0.588432,1
189,0,0.862552,1
190,0,0.624007,1
191,0,0.888987,1
192,0,0.849924,1
193,0,0.902646,1
194,0,0.943956,1
195,0,0.884903,1
196,0,0.949503,1
197,0,0.950408,1
198,0,0.960206,1
199,0,0.877746,1
200,0,0.969788,1
201,0,0.739974,1
202,1,0.462422,1
203,0,0.954741,1
204,0,0.923517,1
205,0,0.900939,1
206,0,0.844186,1
207,0,0.963706,1
208,0,0.900094,1
209,0,0.926875,1
210,0,0.755629,1
211,0,0.907168,1
212,0,0.929030,1
213,0,0.890422,1
214,0,0.892836,1
215,0,0.829874,1
216,0,0.578020,1
217,0,0.922157,1
218,0,0.922724,1
219,0,0.950046,1
220,0,0.835833,1
221,0,0.900948,1
222,0,0.920969,1
223,0,0.901202,1
224,0,0.799568,1
225,0,0.959472,1
226,0,0.898961,1
227,0,0.764721,1
228,0,0.904694,1
229,0,0.550528,1
230,0,0.796292,1
231,0,0.956845,1
232,0,0.897778,1
233,0,0.819041,1
234,0,0.928307,1
235,0,0.888364,1
236,0,0.853403,1
237,0,0.982506,1
238,0,0.912359,1
239,0,0.758102,1
240,0,0.876159,1
241,0,0.850713,1
242,0,0.934074,1
243,0,0.905380,1
244,0,0.958080,1
245,0,0.890821,1
246,0,0.882404,1
247,0,0.910499,1
248,0,0.891111,1
249,0,0.830430,1
250,0,0.793766,1
251,0,0.941031,1
252,0,0.912390,1
253,0,0.963150,1
254,0,0.846654,1
255,0,0.935615,1
256,0,0.900835,1
257,0,0.902252,1
258,0,0.913816,1
259,0,0.904817,1
260,0,0.927834,1
261,0,0.942829,1
262,0,0.892585,1
263,0,0.902753,1
264,0,0.961093,1
265,0,0.751806,1
266,0,0.926536,1
267,0,0.817961,1
268,0,0.761303,1
269,0,0.950119,1
270,0,0.883934,1
271,0,0.861225,1
272,0,0.959129,1
273,0,0.835361,1
274,0,0.955040,1
275,0,0.593674,1
276,0,0.795492,1
277,0,0.944524,1
278,0,0.921837,1
279,0,0.883739,1
280,0,0.949987,1
281,0,0.673993,1
282,0,0.937943,1
283,0,0.938770,1
284,0,0.904487,1
285,0,0.879441,1
286,0,0.920599,1
287,0,0.914488,1
288,0,0.901122,1
289,0,0.852726,1
290,0,0.944856,1
291,0,0.880971,1
292,0,0.917687,1
293,0,0.838391,1
294,0,0.899239,1
295,0,0.945962,1
296,0,0.879476,1
297,0,0.940562,1
298,0,0.988943,1
299,0,0.896247,1
300,0,0.965044,1
301,0,0.972896,1
302,0,0.784249,1
303,0,0.541711,1
304,0,0.944842,1
305,0,0.888093,1
306,0,0.784801,1
307,0,0.914451,1
308,0,0.983737,1
309,0,0.652358,1
310,0,0.953275,1
311,0,0.959940,1
312,0,0.927497,1
313,0,0.891852,1
314,0,0.528659,1
315,0,0.913823,1
316,0,0.800596,1
317,0,0.787291,1
318,0,0.958376,1
319,0,0.761042,1
320,0,0.880456,1
321,0,0.887852,1
322,0,0.907310,1
323,0,0.953691,1
324,0,0.942411,1
325,0,0.917855,1
326,0,0.848581,1
327,0,0.727824,1
328,0,0.928197,1
329,0,0.915735,1
330,0,0.650408,1
331,0,0.836793,1
332,0,0.867625,1
333,0,0.931568,1
334,0,0.788483,1
335,0,0.870213,1
336,0,0.835026,1
337,0,0.981636,1
338,0,0.907273,1
339,0,0.738761,1
340,0,0.806941,1
341,0,0.874377,1
342,0,0.887268,1
343,0,0.893235,1
344,0,0.928156,1
345,0,0.931570,1
346,0,0.900563,1
347,0,0.845918,1
348,0,0.964105,1
349,0,0.944110,1
350,0,0.927103,1
351,0,0.980516,1
352,0,0.934191,1
353,0,0.858927,1
354,0,0.622786,1
355,0,0.923109,1
356,0,0.921743,1
357,0,0.919610,1
358,0,0.808848,1
359,0,0.713659,1
360,0,0.699729,1
361,0,0.957581,1
362,0,0.897100,1
363,0,0.735026,1
364,0,0.857726,1
365,0,0.927233,1
366,0,0.833463,1
367,0,0.937812,1
368,0,0.967772,1
369,0,0.873954,1
370,0,0.930274,1
371,0,0.920204,1
372,0,0.790551,1
373,0,0.683642,1
374,0,0.928910,1
375,0,0.846227,1
376,0,0.882280,1
377,0,0.821261,1
378,0,0.545792,1
379,0,0.941732,1
380,1,0.473386,1
381,0,0.913006,1
382,0,0.961008,1
383,0,0.711823,1
384,0,0.933467,1
385,0,0.789637,1
386,0,0.935667,1
387,0,0.856987,1
388,0,0.958675,1
389,0,0.868476,1
