# image_index,predicted_label,adversarial_probability,true_label
0,0,0.887854,0
1,0,0.861143,0
2,0,0.975447,0
3,0,0.969289,0
4,0,0.732486,0
5,0,0.968802,0
6,0,0.927081,0
7,0,0.924263,0
8,0,0.936316,0
9,0,0.960276,0
10,0,0.951370,0
11,1,0.459517,0
12,0,0.707427,0
13,0,0.851595,0
14,0,0.864957,0
15,0,0.950265,0
16,0,0.860276,0
17,0,0.798128,0
18,0,0.861925,0
19,0,0.975861,0
20,0,0.777123,0
21,0,0.915700,0
22,0,0.785175,0
23,0,0.910023,0
24,0,0.500000,0
25,0,0.853678,0
26,0,0.945593,0
27,0,0.947882,0
28,0,0.614891,0
29,0,0.945771,0
30,0,0.696102,0
31,0,0.645380,0
32,0,0.788291,0
33,0,0.885629,0
34,0,0.809017,0
35,0,0.731679,0
36,0,0.919240,0
37,0,0.930900,0
38,0,0.944237,0
39,0,0.788992,0
40,0,0.946738,0
41,0,0.878665,0
42,0,0.829088,0
43,0,0.951382,0
44,0,0.935917,0
45,0,0.931823,0
46,0,0.914860,0
47,1,0.482891,0
48,0,0.793471,0
49,0,0.820220,0
50,0,0.943895,0
51,0,0.857950,0
52,0,0.985465,0
53,0,0.900270,0
54,0,0.981156,0
55,0,0.876947,0
56,0,0.964408,0
57,0,0.906166,0
58,0,0.679518,0
59,0,0.829917,0
60,0,0.957655,0
61,0,0.981898,0
62,0,0.879697,0
63,0,0.843913,0
64,0,0.821731,0
65,0,0.828524,0
66,0,0.912130,0
67,0,0.794325,0
68,0,0.933130,0
69,0,0.969506,0
70,0,0.855914,0
71,0,0.972789,0
72,0,0.806321,0
73,0,0.965471,0
74,0,0.909155,0
75,0,0.908126,0
76,0,0.818688,0
77,0,0.663561,0
78,0,0.917099,0
79,0,0.975193,0
80,0,0.896011,0
81,0,0.964731,0
82,1,0.455408,0
83,0,0.938573,0
84,0,0.608472,0
85,0,0.948002,0
86,0,0.854797,0
87,0,0.984177,0
88,0,0.565903,0
89,0,0.755173,0
90,0,0.913277,0
91,0,0.782595,0
92,0,0.935823,0
93,0,0.963296,0
94,0,0.924441,0
95,0,0.929395,0
96,0,0.921946,0
97,0,0.947757,0
98,0,0.936860,0
99,0,0.645646,0
100,0,0.761837,0
101,0,0.778943,0
102,0,0.905803,0
103,0,0.937653,0
104,1,0.489190,0
105,0,0.574370,0
106,0,0.926422,0
107,0,0.836931,0
108,0,0.947836,0
109,0,0.970951,0
110,0,0.856503,0
111,0,0.910709,0
112,0,0.969920,0
113,0,0.803535,0
114,0,0.804583,0
115,0,0.894613,0
116,0,0.906556,0
117,0,0.969978,0
118,0,0.850036,0
119,0,0.928801,0
120,0,0.892141,0
121,1,0.396177,0
122,1,0.450784,0
123,0,0.928267,0
124,0,0.848505,0
125,0,0.957556,0
126,0,0.927155,0
127,0,0.735516,0
128,0,0.893877,0
129,0,0.876092,0
130,0,0.832430,0
131,0,0.633602,0
132,0,0.705059,0
133,0,0.634614,0
134,0,0.756566,0
135,0,0.940694,0
136,0,0.822979,0
137,0,0.893361,0
138,0,0.859472,0
139,0,0.907417,0
140,0,0.983631,0
141,0,0.758306,0
142,0,0.535443,0
143,0,0.923627,0
144,0,0.748776,0
145,0,0.923463,0
146,0,0.905421,0
147,0,0.887602,0
148,0,0.917512,0
149,0,0.974371,0
150,0,0.973274,0
151,0,0.722216,0
152,0,0.691183,0
153,0,0.896905,0
154,0,0.926964,0
155,0,0.975552,0
156,0,0.927086,0
157,0,0.825588,0
158,0,0.737331,0
159,0,0.926575,0
160,0,0.900268,0
161,0,0.893878,0
162,0,0.825538,0
163,0,0.907118,0
164,0,0.523277,0
165,1,0.390525,0
166,0,0.900401,0
167,0,0.961413,0
168,0,0.943423,0
169,0,0.870567,0
170,0,0.966442,0
171,0,0.762839,0
172,0,0.930931,0
173,0,0.796359,0
174,0,0.701680,0
175,0,0.967000,0
176,0,0.899850,0
177,0,0.895736,0
178,0,0.726928,0
179,0,0.944064,0
180,0,0.896835,0
181,0,0.866283,0
182,0,0.980254,0
183,0,0.878333,0
184,0,0.802975,0
185,0,0.913008,0
186,0,0.794277,0
187,0,0.890235,0
188,0,0.562900,0
189,0,0.855697,0
190,0,0.628226,0
191,0,0.894295,0
192,0,0.857587,0
193,0,0.910310,0
194,0,0.944948,0
195,0,0.887870,0
196,0,0.952054,0
197,0,0.955543,0
198,0,0.960957,0
199,0,0.871769,0
200,0,0.972715,0
201,0,0.731281,0
202,1,0.446011,0
203,0,0.956935,0
204,0,0.918746,0
205,0,0.911654,0
206,0,0.844165,0
207,0,0.963503,0
208,0,0.904814,0
209,0,0.926557,0
210,0,0.744338,0
211,0,0.908649,0
