# image_index,predicted_label,adversarial_probability,true_label
0,0,0.908380,1
1,0,0.846945,1
2,0,0.977215,1
3,0,0.945841,1
4,0,0.667922,1
5,0,0.965765,1
6,0,0.922921,1
7,0,0.926236,1
8,0,0.920209,1
9,0,0.947534,1
10,0,0.941649,1
11,0,0.534220,1
12,0,0.640502,1
13,0,0.797394,1
14,0,0.825638,1
15,0,0.878497,1
16,0,0.833707,1
17,0,0.650182,1
18,0,0.814553,1
19,0,0.949628,1
20,0,0.850000,1
21,0,0.811256,1
22,0,0.778752,1
23,0,0.885314,1
24,1,0.399391,1
25,0,0.680869,1
26,0,0.903669,1
27,0,0.925948,1
28,0,0.645338,1
29,0,0.920041,1
30,0,0.684226,1
31,0,0.659008,1
32,0,0.590719,1
33,0,0.842745,1
34,0,0.692022,1
35,0,0.628872,1
36,0,0.935245,1
37,0,0.938347,1
38,0,0.924588,1
39,0,0.809024,1
40,0,0.917693,1
41,0,0.816093,1
42,0,0.622740,1
43,0,0.950351,1
44,0,0.862285,1
45,0,0.886470,1
46,0,0.872929,1
47,0,0.522532,1
48,0,0.675009,1
49,0,0.874048,1
50,0,0.890574,1
51,0,0.827973,1
52,0,0.963805,1
53,0,0.768106,1
54,0,0.951105,1
55,0,0.893366,1
56,0,0.958118,1
57,0,0.903904,1
58,0,0.711133,1
59,0,0.732678,1
60,0,0.882360,1
61,0,0.912716,1
62,0,0.732631,1
63,0,0.886488,1
64,0,0.834814,1
65,0,0.794657,1
66,0,0.898950,1
67,0,0.777242,1
68,0,0.836638,1
69,0,0.952396,1
70,0,0.701540,1
71,0,0.965750,1
72,0,0.728646,1
73,0,0.964562,1
74,0,0.865686,1
75,0,0.906720,1
76,0,0.716865,1
77,0,0.647813,1
78,0,0.867562,1
79,0,0.973191,1
80,0,0.905554,1
81,0,0.936037,1
82,1,0.295195,1
83,0,0.963080,1
84,0,0.712248,1
85,0,0.949921,1
86,0,0.771275,1
87,0,0.976421,1
88,1,0.385082,1
89,0,0.739539,1
90,0,0.835634,1
91,0,0.890511,1
92,0,0.933688,1
93,0,0.935116,1
94,0,0.907170,1
95,0,0.900447,1
96,0,0.936355,1
97,0,0.796683,1
98,0,0.918351,1
99,0,0.684105,1
100,0,0.690894,1
101,0,0.822684,1
102,0,0.909599,1
103,0,0.951974,1
104,1,0.372836,1
105,0,0.500000,1
106,0,0.857382,1
107,0,0.738376,1
108,0,0.950805,1
109,0,0.946791,1
110,0,0.831553,1
111,0,0.810827,1
112,0,0.954578,1
113,0,0.813334,1
114,0,0.693792,1
115,0,0.929706,1
116,0,0.935739,1
117,0,0.965291,1
118,0,0.785913,1
119,0,0.924502,1
120,0,0.798042,1
121,1,0.461288,1
122,0,0.605717,1
123,0,0.698840,1
124,0,0.850461,1
125,0,0.900467,1
126,0,0.874705,1
127,0,0.713959,1
128,0,0.866616,1
129,0,0.880369,1
130,0,0.737224,1
131,0,0.554096,1
132,0,0.712281,1
133,0,0.634133,1
134,0,0.525782,1
135,0,0.916177,1
136,0,0.843359,1
137,0,0.852353,1
138,0,0.897186,1
139,0,0.776225,1
140,0,0.973926,1
141,0,0.656912,1
142,1,0.469695,1
143,0,0.922347,1
144,0,0.797456,1
145,0,0.916010,1
146,0,0.894175,1
147,0,0.891968,1
