# image_index,predicted_label,adversarial_probability,true_label
0,0,0.901560,0
1,0,0.861043,0
2,0,0.979293,0
3,0,0.951950,0
4,0,0.674242,0
5,0,0.966848,0
6,0,0.927359,0
7,0,0.929657,0
8,0,0.921371,0
9,0,0.948262,0
10,0,0.946164,0
11,0,0.510613,0
12,0,0.662962,0
13,0,0.807227,0
14,0,0.829959,0
15,0,0.881321,0
16,0,0.837510,0
17,0,0.675545,0
18,0,0.818553,0
19,0,0.957537,0
20,0,0.840192,0
21,0,0.816492,0
22,0,0.774884,0
23,0,0.901887,0
24,1,0.440416,0
25,0,0.688325,0
26,0,0.906776,0
27,0,0.930876,0
28,0,0.632021,0
29,0,0.917606,0
30,0,0.689561,0
31,0,0.714510,0
32,0,0.601554,0
33,0,0.866728,0
34,0,0.724881,0
35,0,0.650007,0
36,0,0.940213,0
37,0,0.944372,0
38,0,0.925329,0
39,0,0.805771,0
40,0,0.916556,0
41,0,0.843433,0
42,0,0.633879,0
43,0,0.952157,0
44,0,0.868098,0
45,0,0.876961,0
46,0,0.879419,0
47,0,0.563165,0
48,0,0.716078,0
49,0,0.873291,0
50,0,0.899614,0
51,0,0.845607,0
52,0,0.971245,0
53,0,0.777266,0
54,0,0.953183,0
55,0,0.885993,0
56,0,0.960183,0
57,0,0.899098,0
58,0,0.719900,0
59,0,0.745114,0
60,0,0.887325,0
61,0,0.912726,0
62,0,0.733763,0
63,0,0.886979,0
64,0,0.830782,0
65,0,0.811655,0
66,0,0.902172,0
67,0,0.773038,0
68,0,0.846061,0
69,0,0.952695,0
70,0,0.724881,0
71,0,0.964248,0
72,0,0.737447,0
73,0,0.965064,0
74,0,0.875624,0
75,0,0.907969,0
76,0,0.722574,0
77,0,0.627853,0
78,0,0.873015,0
79,0,0.975122,0
80,0,0.915185,0
81,0,0.945290,0
82,1,0.310487,0
83,0,0.963561,0
84,0,0.725632,0
85,0,0.952770,0
86,0,0.797666,0
87,0,0.979313,0
88,1,0.361238,0
89,0,0.744554,0
90,0,0.849137,0
91,0,0.895105,0
92,0,0.940392,0
93,0,0.942747,0
94,0,0.910449,0
95,0,0.906876,0
96,0,0.928994,0
97,0,0.806192,0
98,0,0.927019,0
99,0,0.683775,0
100,0,0.715079,0
101,0,0.844679,0
102,0,0.894834,0
103,0,0.953831,0
104,1,0.382908,0
105,0,0.510363,0
106,0,0.865059,0
107,0,0.760550,0
108,0,0.950034,0
109,0,0.946684,0
110,0,0.854041,0
111,0,0.839749,0
112,0,0.956854,0
113,0,0.838331,0
114,0,0.682653,0
115,0,0.944754,0
116,0,0.931259,0
117,0,0.962652,0
118,0,0.787813,0
119,0,0.930007,0
120,0,0.795022,0
121,0,0.500000,0
122,0,0.587066,0
123,0,0.709271,0
124,0,0.836196,0
125,0,0.907142,0
126,0,0.880905,0
127,0,0.720812,0
128,0,0.902712,0
129,0,0.864136,0
130,0,0.757655,0
131,0,0.572406,0
132,0,0.717315,0
133,0,0.647337,0
134,0,0.545833,0
135,0,0.920109,0
136,0,0.842562,0
137,0,0.856054,0
138,0,0.903904,0
139,0,0.780886,0
140,0,0.973885,0
141,0,0.682205,0
142,1,0.475856,0
143,0,0.929995,0
144,0,0.799263,0
145,0,0.915038,0
146,0,0.905380,0
147,0,0.890976,0
148,0,0.903120,0
149,0,0.959736,0
150,0,0.958462,0
151,0,0.657213,0
152,0,0.647741,0
153,0,0.893250,0
154,0,0.907774,0
155,0,0.962936,0
156,0,0.819120,0
157,0,0.725192,0
158,0,0.651817,0
159,0,0.926052,0
160,0,0.837721,0
161,0,0.861854,0
162,0,0.840440,0
163,0,0.874228,0
164,1,0.441777,0
165,1,0.388805,0
166,0,0.913387,0
167,0,0.933613,0
168,0,0.966925,0
169,0,0.777251,0
170,0,0.943175,0
171,0,0.750265,0
172,0,0.897272,0
173,0,0.868924,0
174,0,0.584483,0
175,0,0.971307,0
176,0,0.702505,0
177,0,0.927815,0
178,1,0.381172,0
179,0,0.902512,0
180,0,0.859995,0
181,0,0.875217,0
182,0,0.952208,0
183,0,0.802616,0
184,0,0.635739,0
185,0,0.935918,0
186,0,0.733369,0
187,0,0.876869,0
188,0,0.492372,0
189,0,0.870842,0
190,0,0.594909,0
191,0,0.901661,0
192,0,0.888780,0
193,0,0.896061,0
194,0,0.896972,0
195,0,0.885945,0
196,0,0.887114,0
197,0,0.828073,0
198,0,0.956694,0
199,0,0.899284,0
200,0,0.968746,0
201,0,0.626226,0
202,1,0.392945,0
203,0,0.948230,0
204,0,0.826858,0
205,0,0.923898,0
206,0,0.851200,0
207,0,0.949763,0
208,0,0.925551,0
209,0,0.906370,0
210,0,0.695221,0
211,0,0.901718,0
212,0,0.925106,0
213,0,0.819744,0
214,0,0.934300,0
215,0,0.839555,0
216,1,0.419018,0
217,0,0.738886,0
218,0,0.901954,0
219,0,0.941233,0
220,0,0.816150,0
221,0,0.837068,0
222,0,0.931053,0
223,0,0.791290,0
224,0,0.838539,0
225,0,0.905417,0
226,0,0.835446,0
227,0,0.773950,0
228,0,0.868558,0
229,0,0.526487,0
230,0,0.796350,0
231,0,0.929802,0
232,0,0.868139,0
233,0,0.868150,0
234,0,0.909692,0
235,0,0.837833,0
236,0,0.881547,0
237,0,0.972569,0
238,0,0.932000,0
239,0,0.811751,0
240,0,0.807730,0
241,0,0.819542,0
242,0,0.934362,0
243,0,0.914976,0
244,0,0.956510,0
245,0,0.830693,0
246,0,0.869759,0
247,0,0.895301,0
248,0,0.870063,0
249,0,0.760496,0
250,0,0.813620,0
251,0,0.924160,0
252,0,0.831339,0
253,0,0.941577,0
254,0,0.785949,0
255,0,0.955446,0
256,0,0.916240,0
257,0,0.946277,0
258,0,0.893427,0
259,0,0.863476,0
260,0,0.911127,0
261,0,0.898322,0
262,0,0.864654,0
263,0,0.908768,0
264,0,0.941608,0
265,0,0.670266,0
266,0,0.910391,0
267,0,0.768330,0
268,0,0.712357,0
269,0,0.909866,0
270,0,0.837676,0
271,0,0.828892,0
272,0,0.947413,0
273,0,0.825861,0
274,0,0.876911,0
275,0,0.646223,0
276,0,0.717688,0
277,0,0.931559,0
278,0,0.909569,0
279,0,0.886890,0
280,0,0.914608,0
281,0,0.826531,0
282,0,0.913321,0
283,0,0.930212,0
284,0,0.809383,0
285,0,0.895247,0
286,0,0.941949,0
287,0,0.928314,0
288,0,0.915660,0
289,0,0.719368,0
290,0,0.899126,0
291,0,0.786377,0
292,0,0.936409,0
293,0,0.888042,0
294,0,0.872184,0
295,0,0.941804,0
296,0,0.783746,0
297,0,0.898050,0
298,0,0.978881,0
299,0,0.910875,0
300,0,0.956580,0
301,0,0.964428,0
302,0,0.744792,0
303,0,0.570279,0
304,0,0.912689,0
305,0,0.890553,0
306,1,0.478999,0
307,0,0.939886,0
308,0,0.987924,0
309,0,0.740883,0
310,0,0.943383,0
311,0,0.941261,0
312,0,0.968655,0
313,0,0.809985,0
314,0,0.572847,0
315,0,0.843365,0
316,0,0.752753,0
317,0,0.828300,0
318,0,0.945774,0
319,0,0.698631,0
320,0,0.869613,0
321,0,0.931150,0
322,0,0.838740,0
323,0,0.943525,0
324,0,0.945710,0
325,0,0.917050,0
326,0,0.835899,0
327,0,0.809921,0
328,0,0.955419,0
329,0,0.843812,0
330,0,0.699737,0
331,0,0.770994,0
332,0,0.857049,0
333,0,0.901940,0
334,0,0.827819,0
335,0,0.844584,0
336,0,0.773366,0
337,0,0.955868,0
338,0,0.848142,0
339,0,0.608228,0
340,0,0.876448,0
341,0,0.861314,0
342,0,0.861885,0
343,0,0.954948,0
344,0,0.935977,0
345,0,0.844341,0
346,0,0.752150,0
347,0,0.704571,0
348,0,0.952909,0
349,0,0.951444,0
350,0,0.945501,0
351,0,0.979508,0
352,0,0.857761,0
353,0,0.741744,0
354,0,0.566249,0
355,0,0.931929,0
356,0,0.933234,0
357,0,0.909553,0
358,0,0.778067,0
359,0,0.720888,0
360,0,0.728988,0
361,0,0.964420,0
362,0,0.816785,0
363,0,0.599263,0
364,0,0.923020,0
365,0,0.940321,0
366,0,0.873000,0
367,0,0.959930,0
368,0,0.962312,0
369,0,0.815340,0
370,0,0.890442,0
371,0,0.875610,0
372,0,0.881048,0
373,0,0.632274,0
374,0,0.890609,0
375,0,0.851083,0
376,0,0.760750,0
377,0,0.764989,0
378,0,0.506898,0
379,0,0.920128,0
380,1,0.376892,0
381,0,0.902893,0
382,0,0.961341,0
383,0,0.583640,0
384,0,0.892746,0
385,0,0.742286,0
386,0,0.887743,0
387,0,0.862964,0
388,0,0.967339,0
389,0,0.773254,0
390,0,0.903899,0
391,0,0.936107,0
392,0,0.645782,0
393,0,0.655721,0
394,0,0.840844,0
395,0,0.787348,0
396,0,0.971714,0
397,0,0.673499,0
398,0,0.886165,0
399,0,0.850175,0
400,0,0.893474,0
401,0,0.976498,0
402,0,0.905997,0
403,0,0.611913,0
404,0,0.871041,0
405,0,0.892160,0
406,0,0.851769,0
407,0,0.882416,0
408,0,0.848864,0
409,0,0.982985,0
410,0,0.801863,0
411,0,0.574091,0
412,0,0.906283,0
413,0,0.887482,0
414,0,0.918602,0
415,0,0.973047,0
416,0,0.905168,0
417,0,0.834170,0
418,0,0.931945,0
419,0,0.962448,0
420,0,0.953569,0
421,0,0.841947,0
422,0,0.952229,0
423,0,0.810245,0
424,0,0.904288,0
425,0,0.923765,0
426,0,0.972334,0
427,0,0.931060,0
428,0,0.715607,0
429,0,0.908342,0
430,0,0.853584,0
431,0,0.794164,0
432,0,0.626218,0
433,0,0.667306,0
434,0,0.844229,0
435,0,0.953413,0
436,0,0.975061,0
437,0,0.928910,0
438,0,0.903665,0
439,0,0.918942,0
440,0,0.904941,0
441,0,0.943743,0
442,0,0.757968,0
443,0,0.909658,0
444,0,0.689999,0
445,0,0.886208,0
446,0,0.865437,0
447,0,0.824816,0
448,0,0.490630,0
449,0,0.931469,0
450,0,0.964682,0
451,0,0.864326,0
452,0,0.669247,0
453,0,0.912501,0
454,0,0.958360,0
455,0,0.917802,0
456,0,0.942429,0
457,1,0.108826,0
458,0,0.916214,0
459,0,0.747336,0
460,0,0.808852,0
461,0,0.928234,0
462,0,0.752397,0
463,0,0.691101,0
464,0,0.898871,0
465,1,0.420149,0
466,0,0.920312,0
467,0,0.500000,0
468,0,0.658350,0
469,0,0.863650,0
470,0,0.684984,0
471,0,0.803755,0
472,0,0.950158,0
473,0,0.918324,0
474,0,0.693890,0
475,0,0.710614,0
476,0,0.842107,0
477,0,0.851358,0
478,0,0.948324,0
479,0,0.905942,0
480,0,0.947040,0
481,0,0.877418,0
482,0,0.713064,0
483,0,0.863749,0
484,0,0.570688,0
485,0,0.755265,0
486,0,0.969694,0
487,0,0.640689,0
488,0,0.705199,0
489,0,0.849227,0
490,0,0.793324,0
491,0,0.938913,0
492,0,0.840588,0
493,0,0.941119,0
494,0,0.558165,0
495,0,0.907990,0
496,0,0.847400,0
497,0,0.883477,0
498,0,0.932074,0
499,0,0.901548,0
500,0,0.908430,0
501,0,0.914993,0
502,0,0.844482,0
503,0,0.778341,0
504,0,0.949558,0
505,0,0.960358,0
506,0,0.898326,0
507,0,0.567032,0
508,0,0.930532,0
509,0,0.922172,0
510,0,0.782574,0
511,0,0.815917,0
512,0,0.952050,0
513,0,0.820895,0
514,0,0.909582,0
515,0,0.819127,0
516,0,0.934273,0
517,0,0.766944,0
518,0,0.893672,0
519,0,0.694753,0
520,0,0.702124,0
521,0,0.687557,0
522,0,0.881975,0
523,1,0.264974,0
524,0,0.901207,0
525,0,0.844110,0
526,0,0.889900,0
527,0,0.904938,0
528,0,0.902233,0
529,0,0.812715,0
530,0,0.780024,0
531,0,0.791624,0
532,0,0.781442,0
533,0,0.914332,0
534,0,0.544352,0
535,0,0.947548,0
536,1,0.334720,0
537,0,0.792247,0
538,0,0.612246,0
539,0,0.919604,0
540,0,0.931434,0
541,0,0.910477,0
542,0,0.915744,0
543,0,0.970552,0
544,0,0.791577,0
545,0,0.845861,0
546,0,0.863828,0
547,0,0.706918,0
548,0,0.864703,0
549,0,0.927038,0
550,0,0.800134,0
551,0,0.923651,0
552,0,0.813910,0
553,0,0.636693,0
554,0,0.848383,0
555,0,0.904648,0
556,0,0.862923,0
557,0,0.903478,0
558,0,0.874118,0
559,0,0.824054,0
560,0,0.843290,0
561,0,0.792634,0
562,0,0.966690,0
563,0,0.775741,0
564,0,0.962704,0
565,0,0.599096,0
566,0,0.680877,0
567,0,0.850392,0
568,0,0.616407,0
569,0,0.809200,0
570,0,0.834835,0
571,0,0.647388,0
572,0,0.816823,0
573,0,0.946601,0
574,0,0.793193,0
575,0,0.851313,0
576,0,0.911708,0
577,0,0.926839,0
578,0,0.559032,0
579,0,0.920102,0
580,0,0.968723,0
581,0,0.884399,0
582,0,0.755667,0
583,0,0.828427,0
584,0,0.875912,0
585,0,0.844322,0
586,0,0.761014,0
587,0,0.911195,0
588,0,0.892182,0
589,0,0.500000,0
590,0,0.855377,0
591,0,0.857085,0
592,0,0.883031,0
593,0,0.787386,0
594,0,0.672732,0
595,0,0.899447,0
596,0,0.775873,0
597,0,0.729931,0
598,0,0.600275,0
599,0,0.909883,0
